Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Gulls,SDG,San Diego,Pacific Division,Western Conference,0,0,0,0,1871207,0,167,0,50,False,1,0,,W1,7,2,0,1,0,0,0,20,16,4,0,0,0,0,0,32,82,39,11,10,1,0,0,0,0,0,46,16,90,15,108,13,1,529,377,105,150,186,183,10,27,26,26,3,25660,33106,14598,8050,23893,7942,4,82,145,227,288,413,321,532,335,565,172,312,0,
2,Moose,MAN,Manitoba,Central Division,Western Conference,0,0,0,0,940333,0,246,0,50,True,11,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Bruins,PRO,Providence,Atlantic,Eastern Conference,3005,0,2834,0,961833,0,231,0,50,True,28,0,,OTL1,0,3,0,0,1,0,0,4,0,4,0,0,0,0,0,0,6,13,2,0,2,0,0,0,0,0,2,7,13,2,17,2,0,87,102,27,14,25,30,18,1,5,0,0,4525,8596,2849,1404,6700,1620,0,6,9,15,36,85,54,106,47,111,20,57,0,
4, Americans,ROC,Rochester,Central Division,Western Conference,0,0,0,0,1180417,0,75,0,50,True,8,0,,L1,3,3,0,0,1,0,0,7,3,4,0,0,0,0,0,6,15,15,4,2,2,0,0,0,0,0,9,8,37,5,37,6,0,150,133,29,50,34,62,4,4,7,4,0,10160,10993,5276,3233,7773,2581,1,15,25,40,107,102,113,188,116,199,49,94,0,
5,Heat,STK,Stockton,Pacific Division,Western Conference,0,1168,0,0,1370459,0,100,0,50,True,4,0,,L2,4,5,0,0,1,0,0,17,9,8,0,0,0,0,0,18,59,54,9,7,2,0,0,0,0,0,37,25,91,16,70,13,1,456,380,99,134,168,148,6,21,21,16,1,24949,25552,12207,7169,18535,6002,1,59,103,162,168,285,226,438,274,497,146,270,0,
6,Checkers,CHR,Charlotte,Atlantic,Eastern Conference,0,0,0,0,1493916,0,164,0,50,True,5,0,,L1,5,5,0,0,0,0,0,22,13,9,0,0,0,0,0,26,78,74,10,8,2,0,0,0,0,0,37,29,120,22,109,18,0,442,482,125,152,130,160,0,34,20,24,0,32014,31188,15998,9594,21720,7736,0,78,135,213,301,431,233,576,231,528,155,374,1,
7,IceHogs,RCK,Rockford,Central Division,Western Conference,0,0,0,0,1385834,0,13,0,50,True,27,0,,L1,2,4,0,0,0,0,0,6,2,4,0,0,0,0,0,4,18,25,3,2,1,0,0,0,0,0,12,9,24,6,33,7,0,139,184,48,45,54,40,0,5,6,7,0,9906,7581,4113,2437,5327,1891,0,18,32,50,68,92,79,192,77,152,48,102,0,
8,Eagles,COL,Colorado,Pacific Division,Western Conference,0,0,0,0,500533,0,105,0,50,True,12,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Monsters,CLE,Cleveland,North,Eastern Conference,0,0,0,0,1771500,0,186,0,50,True,10,0,,L2,2,4,0,0,0,0,0,6,2,4,0,0,0,0,0,4,20,23,3,1,2,0,0,0,0,0,11,10,32,7,35,9,0,130,130,34,51,38,41,0,10,3,7,0,8578,8756,4266,2518,6197,2208,1,20,38,58,87,104,76,135,105,167,60,99,0,
10,Stars,TEX,Texas,Central Division,Western Conference,0,0,0,0,639666,0,119,0,50,True,13,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,Griffins,GRP,Grand Rapids,North,Eastern Conference,0,0,0,0,713500,0,256,0,50,True,14,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,Condors,BKR,Bakersfield,Pacific Division,Western Conference,0,0,0,0,1411667,0,70,0,50,True,9,0,,L1,4,4,0,1,1,0,0,14,7,7,0,0,0,0,0,14,32,38,6,4,2,0,0,0,0,0,15,15,61,11,82,11,1,268,335,100,82,101,75,10,10,12,9,1,22163,20318,10336,6182,14041,5217,1,32,54,86,193,326,160,399,151,361,89,201,0,
13,Thunderbirds,SPR,Springfield,Atlantic,Eastern Conference,0,0,0,0,1260517,0,235,0,50,True,29,0,,L3,2,7,0,1,0,0,0,19,9,10,0,0,0,0,0,18,59,70,11,6,5,0,0,0,0,0,37,39,67,12,73,12,1,553,475,167,159,191,161,42,19,22,15,3,28681,30008,13212,7654,22882,6446,0,59,102,161,165,361,297,517,344,526,180,302,1,
14,Reign,ONT,Ontario,Pacific Division,Western Conference,0,0,0,0,688833,0,124,0,50,True,15,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,Wild,IOA,Iowa,Central Division,Western Conference,0,0,0,0,576884,0,193,0,50,True,31,0,,L1,0,3,0,0,1,0,0,4,0,4,0,0,0,0,0,0,8,27,2,0,2,0,0,0,0,0,7,13,21,2,8,2,0,60,138,49,25,20,14,1,6,0,2,0,8204,3854,2580,1720,2662,1001,0,8,11,19,18,55,23,109,26,89,27,71,0,
16,Rocket,LAV,Laval,North,Eastern Conference,0,0,0,0,739417,0,129,0,50,True,7,0,,OTL1,5,3,0,1,1,0,0,11,7,4,0,0,0,0,0,14,33,35,5,4,1,0,0,0,0,0,16,13,40,4,30,3,0,270,359,82,95,84,73,18,11,14,7,1,21804,12990,7566,4589,9202,3337,1,33,59,92,66,183,137,335,128,292,78,152,0,
