Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProSecPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmSecPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
439,Collin Delia,https://www.tsn.ca/nhl/player-bio/collin-delia,13,USA,1994-06-20,190,74,3,True,False,False,False,True,True,True,False,0,950000,950000,950000,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,55,54,68,75,55,57,55,60,57,57,30,44,44,56,50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26796,6,1,0,1,13,181,0,0,0,0,0,7,10,0,0,0,0,200,1350,1350,False
417,David Rittich,http://www.tsn.ca/nhl/player-bio/david-rittich,13,CZE,1992-08-18,202,75,2,False,False,False,False,False,True,True,False,0,1000000,1000000,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,65,61,59,83,68,62,60,65,73,65,65,46,46,65,50,63,3,10800,1,2,0,0,8,102,0,0,0,0,0,3,6,0,0,0,2,0,640,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
418,Alex Nedeljkovic,http://www.tsn.ca/nhl/player-bio/alex-nedeljkovic,16,USA,1996-01-07,198,72,2,False,False,False,False,False,True,True,False,0,894167,894167,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,57,67,84,68,53,61,57,63,59,59,30,44,44,59,50,59,1,3600,1,0,0,0,2,22,0,0,0,0,0,1,0,0,0,0,0,0,40,40,16,55102,13,2,1,2,32,359,0,0,0,4,1,16,0,0,0,1,0,160,2120,2120,False
379,Semyon Varlamov,http://www.tsn.ca/nhl/player-bio/semyon-varlamov,24,RUS,1988-04-26,209,74,1,False,False,False,False,False,True,True,False,0,5900000,0,0,0,0,0,0,0,0,0,,22,100,0,3,2,2,2,2,2,2,2,2,2,83,67,67,80,83,84,66,83,87,84,84,69,71,80,50,77,16,48446,7,7,1,0,35,409,0,0,0,6,2,16,0,0,0,1,1,0,1620,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,Jonathan Bernier,http://www.tsn.ca/nhl/player-bio/jonathan-bernier,6,QUE,1988-08-07,184,72,2,False,False,False,False,False,True,True,False,0,4200000,4200000,0,0,0,0,0,0,0,0,,3,100,0,3,2,2,2,2,2,2,2,2,2,78,68,68,68,82,74,62,76,83,78,62,65,66,75,50,72,13,48179,3,6,4,1,31,470,0,2,0,21,6,13,3,0,4,2,0,420,3575,3575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,Curtis McElhinney,http://www.tsn.ca/nhl/player-bio/curtis-mcelhinney,30,ONT,1983-05-22,200,75,2,False,False,False,False,False,True,True,False,0,1600000,1600000,0,0,0,0,0,0,0,0,,3,100,0,3,3,3,3,3,3,3,3,3,3,75,52,54,81,82,68,80,72,82,75,57,62,63,73,50,71,7,24998,2,2,3,1,17,219,0,0,0,2,2,7,9,0,1,0,0,0,1185,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,Kari Lehtonen,http://www.tsn.ca/nhl/player-bio/kari-lehtonen,1,FIN,1983-11-15,190,76,1,False,False,False,False,False,True,True,False,0,2500000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,81,78,78,85,89,74,68,80,82,81,80,76,77,79,50,78,6,20273,2,3,1,0,14,176,0,0,0,12,3,6,10,0,0,1,1,0,1300,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
380,Cam Talbot,http://www.tsn.ca/nhl/player-bio/cam-talbot,10,ONT,1987-07-04,199,75,5,False,False,False,False,False,True,True,False,0,6250000,6250000,6250000,6250000,6250000,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,79,99,94,79,75,82,58,76,78,79,43,64,65,77,50,75,16,58264,8,7,1,0,46,455,0,0,1,9,1,16,0,0,1,0,0,0,1280,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
419,Alex Lyon,http://www.tsn.ca/nhl/player-bio/alex-lyon,30,USA,1992-12-08,201,73,3,True,False,False,False,False,True,True,False,0,750000,750000,750000,0,0,0,0,0,0,0,,0,100,0,1,0,0,0,0,0,0,0,0,0,64,71,67,75,67,60,64,63,75,64,65,45,45,66,50,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
12,Ryan Miller,http://www.tsn.ca/nhl/player-bio/ryan-miller,13,USA,1980-07-17,168,74,2,False,False,False,False,True,True,True,False,0,5000000,5000000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,80,71,72,65,86,75,75,80,86,80,77,78,81,79,50,76,10,34097,7,3,0,1,22,263,0,0,0,6,1,9,7,0,1,1,0,280,1570,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
