Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,25,3,1,4,False,False
2,1,True,20,1,4,4,False,False
3,1,True,27,3,19,4,False,False
4,1,True,29,3,2,4,True,True
5,1,True,16,3,22,2,False,False
6,1,True,6,2,11,3,True,True
7,1,True,10,1,12,3,False,False
8,1,True,15,3,14,2,False,False
9,1,True,31,2,23,4,False,False
10,1,True,9,4,21,5,False,False
11,1,True,30,3,3,4,True,True
12,1,True,26,1,17,2,True,True
13,1,True,24,2,28,5,False,False
14,1,True,18,6,13,4,False,False
15,2,True,8,2,5,5,False,False
16,2,True,1,1,7,3,False,False
17,2,True,21,4,9,3,False,False
18,2,True,2,3,31,5,False,False
19,2,True,11,3,18,4,True,True
20,2,True,3,4,6,3,True,True
21,2,True,28,3,20,4,False,False
22,2,True,25,5,29,1,False,False
23,2,True,19,4,27,2,False,False
24,2,True,17,2,26,5,False,False
25,2,True,16,4,24,2,False,False
26,2,True,13,4,30,2,False,False
27,2,True,23,2,15,4,False,False
28,3,True,14,2,10,3,True,True
29,3,True,12,3,8,1,False,False
30,3,True,5,3,25,2,False,False
31,3,True,22,1,16,4,False,False
32,3,True,19,2,4,3,False,False
33,3,True,29,5,7,2,False,False
34,4,True,13,1,20,2,False,False
35,4,True,17,5,23,6,True,True
36,4,True,22,3,28,5,False,False
37,4,True,15,1,12,3,False,False
38,4,True,27,4,6,2,False,False
39,4,True,10,4,1,2,False,False
40,4,True,21,3,24,1,False,False
41,4,True,2,1,14,2,False,False
42,4,True,4,5,18,3,False,False
43,4,True,30,2,11,3,True,True
44,4,True,9,3,3,5,False,False
45,4,True,8,1,26,2,False,False
46,4,True,7,3,31,4,False,False
47,5,True,15,2,5,0,False,False
48,5,True,19,2,16,1,False,False
49,5,True,1,2,25,3,False,False
50,5,True,26,5,10,1,False,False
51,5,True,4,2,22,0,False,False
52,5,True,27,1,30,5,False,False
53,5,True,24,3,13,2,False,False
54,5,True,28,2,9,3,False,False
55,5,True,31,3,2,2,False,False
56,5,True,18,1,21,4,False,False
57,5,True,23,4,17,3,True,True
58,5,True,14,4,29,3,False,False
59,6,True,5,2,8,4,False,False
60,6,True,12,5,15,2,False,False
61,6,True,3,0,19,4,False,False
62,6,True,20,3,27,2,False,False
63,6,True,11,2,6,3,False,False
64,6,True,31,2,7,5,False,False
65,6,True,16,1,18,2,False,False
66,6,True,26,3,25,4,False,False
67,6,True,22,2,4,3,False,False
68,6,True,17,2,14,4,False,False
69,6,True,13,3,9,2,False,False
70,7,True,30,3,28,4,True,True
71,7,True,24,3,21,2,False,False
72,7,True,2,3,1,2,True,True
73,7,True,10,1,23,4,False,False
74,7,True,7,3,29,5,False,False
75,7,True,11,1,20,0,False,False
76,7,True,8,3,12,2,True,True
77,7,True,17,4,5,1,False,False
78,7,True,6,4,3,0,False,False
79,8,True,13,3,24,5,False,False
80,8,True,18,1,27,3,False,False
81,8,True,21,2,19,4,False,False
82,8,True,31,2,10,1,True,True
83,8,True,25,1,26,5,False,False
84,8,True,14,2,15,3,False,False
85,8,True,23,1,2,3,False,False
86,8,True,28,3,22,1,False,False
87,8,True,16,4,30,2,False,False
88,8,True,1,3,8,4,False,False
89,8,True,9,2,11,6,False,False
90,9,True,20,3,16,2,False,False
91,9,True,6,1,13,3,False,False
92,9,True,5,1,17,2,False,False
93,9,True,25,3,31,4,True,True
94,9,True,15,5,29,4,True,True
95,9,True,12,3,7,1,False,False
96,9,True,24,3,3,2,False,False
97,9,True,9,3,4,2,False,False
98,9,True,23,3,10,0,False,False
99,9,True,8,1,1,2,True,True
100,9,True,30,3,21,4,True,True
101,9,True,27,1,22,4,False,False
102,9,True,28,6,18,0,False,False
103,9,True,2,1,26,4,False,False
104,10,True,29,2,14,1,False,False
105,10,True,4,1,19,3,False,False
106,10,True,20,2,11,5,False,False
107,10,True,28,3,6,4,True,True
108,10,True,7,0,5,4,False,False
109,10,True,17,2,12,1,False,False
110,10,True,25,3,23,2,True,True
111,10,True,3,2,9,1,True,True
112,10,True,27,1,24,4,False,False
113,10,True,21,3,30,2,True,False
114,10,True,15,2,31,3,True,False
115,10,True,18,0,16,4,False,False
116,11,True,1,0,2,2,False,False
117,11,True,22,2,13,4,False,False
118,11,True,26,2,8,0,False,False
119,11,True,3,4,20,3,True,True
120,11,True,6,1,27,3,False,False
121,11,True,14,3,17,1,False,False
122,11,True,29,2,15,3,False,False
123,11,True,12,4,25,5,True,True
124,11,True,19,2,28,3,True,True
125,11,True,5,2,10,3,False,False
126,11,True,24,2,4,3,True,True
127,11,True,23,3,7,4,False,False
128,11,True,18,6,11,5,True,True
129,12,True,16,1,19,3,False,False
130,12,True,12,2,1,3,True,True
131,12,True,30,2,13,3,False,False
132,12,True,14,5,2,3,False,False
133,12,True,21,5,22,0,False,False
134,12,True,10,1,26,3,False,False
135,12,True,4,4,9,3,True,True
136,12,True,8,4,31,5,True,True
137,12,True,17,4,29,3,True,False
138,12,True,20,3,3,6,False,False
139,12,True,25,4,5,1,False,False
140,13,True,21,2,6,1,False,False
141,13,True,24,3,16,2,False,False
142,13,True,30,2,27,0,False,False
143,13,True,7,4,14,3,True,True
144,13,True,18,0,28,5,False,False
145,13,True,26,1,15,3,False,False
146,13,True,2,3,23,4,False,False
147,13,True,31,2,8,3,False,False
148,13,True,1,2,12,4,False,False
149,13,True,4,1,20,3,False,False
150,14,True,13,3,18,2,False,False
151,14,True,19,3,21,2,False,False
152,14,True,29,2,25,3,True,True
153,14,True,11,4,30,3,True,False
154,14,True,1,3,17,0,False,False
155,14,True,3,4,24,2,False,False
156,14,True,27,6,9,5,True,True
157,14,True,12,4,10,3,False,False
158,15,True,16,3,6,1,False,False
159,15,True,5,3,7,6,False,False
160,15,True,11,0,22,3,False,False
161,15,True,28,1,19,2,True,False
162,15,True,9,0,13,3,False,False
163,15,True,15,3,23,2,True,True
164,15,True,26,2,2,4,False,False
165,15,True,10,4,14,5,False,False
166,15,True,17,3,31,2,False,False
167,16,True,26,3,5,2,True,True
168,16,True,29,5,8,6,True,False
169,16,True,6,2,4,3,False,False
170,16,True,16,4,20,2,False,False
171,16,True,22,1,3,3,False,False
172,16,True,24,5,11,1,False,False
173,16,True,7,3,1,4,False,False
174,16,True,28,3,30,4,False,False
175,16,True,9,5,27,4,False,False
176,16,True,14,1,25,4,False,False
177,16,True,21,3,18,2,True,True
178,16,True,31,2,15,1,False,False
179,17,True,8,3,29,8,False,False
180,17,True,7,3,12,5,False,False
181,17,True,31,3,17,2,True,True
182,17,True,6,2,28,4,False,False
183,17,True,11,1,24,4,False,False
184,17,True,22,0,21,4,False,False
185,17,True,9,3,16,0,False,False
186,17,True,5,2,26,3,True,False
187,17,True,27,2,20,3,False,False
188,17,True,13,2,19,3,False,False
189,17,True,18,2,3,3,False,False
190,17,True,30,1,4,2,False,False
191,17,True,1,4,10,6,False,False
192,18,True,12,4,2,3,True,True
193,18,True,8,1,23,4,False,False
194,18,True,25,2,14,5,False,False
195,18,True,5,3,15,4,False,False
196,18,True,13,4,22,2,False,False
197,18,True,10,6,29,2,False,False
198,18,True,4,4,6,3,True,True
199,18,True,19,0,11,2,False,False
200,18,True,26,4,7,3,False,False
201,19,True,3,3,30,1,False,False
202,19,True,24,1,27,2,False,False
203,19,True,6,0,16,2,False,False
204,19,True,20,2,28,4,False,False
205,19,True,23,0,25,4,False,False
206,19,True,17,2,1,5,False,False
207,19,True,11,1,9,2,False,False
208,19,True,10,3,31,2,True,True
209,20,True,14,3,8,4,False,False
210,20,True,20,2,21,1,False,False
211,20,True,19,5,13,1,False,False
212,20,True,2,2,5,1,False,False
213,20,True,27,1,18,3,False,False
214,20,True,25,4,12,2,False,False
215,20,True,29,2,17,3,False,False
216,20,True,28,4,24,2,False,False
217,20,True,15,2,26,3,True,False
218,20,True,7,2,23,3,False,False
219,20,True,3,5,22,0,False,False
220,21,True,5,4,2,0,False,False
221,21,True,18,4,4,3,True,True
