Team Number,Prospect Name,Year,Overall Pick
6,Kaapo Kakko,2019,1
6,Jack Hughes,2019,2
21,Spencer Watson,2014,101
22,Bowen Byram,2019,3
29,Mattias Norlinder,2019,77
28,Cody Glass,2017,4
12,Alex Turcotte,2019,4
19,Cale Makar,2017,5
22,Filip Zadina,2018,5
13,Alexander Nylander,2016,6
9,Quinn Hughes,2018,6
8,Trevor Zegras,2019,5
18,Hunter Drew,2018,188
25,Adam Boqvist,2018,7
2,Olli Juolevi,2016,9
30,Gabriel Vilardi,2017,6
25,Vasili Podkolzin,2019,6
26,Oliver Wahlstrom,2018,8
28,Barrett Hayton,2018,9
15,Evan Bouchard,2018,10
11,Owen Tippett,2017,7
14,Timothy Liljegren,2017,8
29,Michael McLeod,2016,12
17,Spencer Knight,2019,8
8,Logan Stanley,2016,14
24,Cole Caufield,2019,9
31,Vitali Kravtsov,2018,11
17,Dylan Cozens,2019,10
31,Adam Beckman,2019,78
5,Jake Bean,2016,17
1,Noah Dobson,2018,12
11,Philip Broberg,2019,11
25,Peyton Krebs,2019,12
24,Dante Fabbro,2016,19
1,Kieffer Bellows,2016,20
1,German Rubtsov,2016,21
1,Moritz Seider,2019,13
30,Alex Newhook,2019,14
25,Julien Gauthier,2016,23
23,Tanner Richard,2012,99
2,Rasmus Kupari,2018,13
28,Adam Mascherin,2016,24
29,Joel Farabee,2018,14
24,Joe Veleno,2018,15
1,Adam Ruzicka,2017,93
1,Josh Wesley,2014,103
29,Riley Tufte,2016,26
12,Ty Dellandrea,2018,16
6,Nick Suzuki,2017,14
13,Erik Brannstrom,2017,16
6,Lucas Johansen,2016,27
22,Andrew Peeke,2016,28
13,Martin Necas,2017,17
11,Evan Fitzpatrick,2016,64
18,Matthew Boldy,2019,15
17,Ville Heinola,2019,16
24,Croix Evingson,2017,215
14,J.C. Lipon,2013,93
10,Jerome Gauthier-Leduc,2010,97
1,Grigori Denisenko,2018,17
17,Lassi Thomson,2019,17
29,Victor Soderstrom,2019,18
23,Cam York,2019,19
21,Pascal Laberge,2016,30
14,Tyler Biggs,2011,23
23,Urho Vaakanainen,2017,20
12,Josh Norris,2017,21
17,Nils Hoglander,2019,20
21,Serron Noel,2018,18
12,Reilly Walsh,2017,94
28,Thomas Harley,2019,21
8,Tyler Benson,2016,33
7,Steven Shipley,2010,100
28,Martin Kaut,2018,19
2,Ty Smith,2018,20
14,Adam Janosik,2010,101
10,Cal Foote,2017,22
25,Nicolas Beaudin,2018,21
14,Philip Tomasino,2019,22
23,Libor Hajek,2016,34
14,Tobias Bjornfot,2019,23
6,Jonatan Berggren,2018,22
1,Samuel Poulin,2019,24
18,Jakob Stukel,2016,170
26,Kristian Vesalainen,2017,24
6,Dominik Bokk,2018,23
19,Jasper Weatherby,2018,120
5,Rasmus Asplund,2016,36
24,Cameron Morrison,2016,37
31,K'Andre Miller,2018,24
21,Klim Kostin,2017,26
31,Nick Henry,2017,95
30,Arthur Kaliyev,2019,25
31,Liam Foudy,2018,25
10,Ryan Poehling,2017,27
17,Morgan Frost,2017,28
2,Kale Clague,2016,38
15,Ryan Suzuki,2019,26
1,Yegor Korshkov,2016,40
14,Connor McMichael,2019,27
30,Jakob Pelletier,2019,28
5,Ryan Merkley,2018,26
28,Nicolas Hague,2017,29
3,Markus Phillips,2017,96
19,Austin Levi,2010,107
9,Kole Lind,2017,30
31,Pierre-Olivier Joseph,2017,31
6,Filip Gustavsson,2016,43
5,Vitaly Abramov,2016,44
1,Jordan Kyrou,2016,45
31,Tyler Parsons,2016,46
11,Isaac Ratcliffe,2017,32
10,Nolan Foote,2019,29
28,Conor Timmins,2017,34
31,Shane Bowers,2017,35
31,Brayden Tracey,2019,30
2,Eetu Luostarinen,2017,36
15,Lukas Elvenes,2017,97
7,Igor Shesterkin,2014,105
5,Jason Robertson,2017,37
5,Trent Miner,2019,130
1,Simon Holmstrom,2019,31
10,Isac Lundestrom,2018,27
5,Raphael Lavoie,2019,32
30,Jaret Anderson-Dolan,2017,39
7,Jesper Boqvist,2017,40
19,William Bitten,2016,48
1,Dylan Samberg,2017,41
2,Nils Lundkvist,2018,28
2,Akil Thomas,2018,29
18,Jay O'Brien,2018,30
24,Luke Martin,2017,42
31,Aleksi Heponiemi,2017,43
29,Michael Downing,2013,96
1,Rasmus Sandin,2018,31
22,Jett Woo,2018,32
12,John Beecher,2019,33
9,Jonah Gadjovich,2017,44
30,Dylan Gambrell,2016,50
5,Ukko-Pekka Luukkonen,2017,45
6,Ryan McLeod,2018,33
15,Jacob Olofsson,2018,34
29,Boris Katchouk,2016,51
11,Joni Ikonen,2017,46
12,Antti Tuomisto,2019,34
8,Nathan Bastian,2016,53
