Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,False,31,0,17,0,False,False
2,1,False,12,0,8,0,False,False
3,1,False,1,0,14,0,False,False
4,1,False,9,0,29,0,False,False
5,1,False,22,0,3,0,False,False
6,1,False,11,0,16,0,False,False
7,1,False,19,0,13,0,False,False
8,1,False,30,0,20,0,False,False
9,1,False,10,0,2,0,False,False
10,1,False,7,0,4,0,False,False
11,1,False,15,0,25,0,False,False
12,1,False,18,0,27,0,False,False
13,1,False,23,0,5,0,False,False
14,1,False,21,0,28,0,False,False
15,1,False,6,0,24,0,False,False
16,2,False,14,0,26,0,False,False
17,2,False,28,0,18,0,False,False
18,2,False,5,0,1,0,False,False
19,2,False,2,0,7,0,False,False
20,2,False,30,0,19,0,False,False
21,2,False,17,0,10,0,False,False
22,2,False,8,0,23,0,False,False
23,2,False,27,0,11,0,False,False
24,2,False,25,0,15,0,False,False
25,2,False,6,0,22,0,False,False
26,2,False,29,0,21,0,False,False
27,2,False,4,0,31,0,False,False
28,2,False,16,0,9,0,False,False
29,3,False,5,0,12,0,False,False
30,3,False,3,0,6,0,False,False
31,3,False,20,0,30,0,False,False
32,3,False,22,0,24,0,False,False
33,3,False,14,0,26,0,False,False
34,4,False,22,0,13,0,False,False
35,4,False,29,0,27,0,False,False
36,4,False,18,0,16,0,False,False
37,4,False,20,0,19,0,False,False
38,4,False,17,0,7,0,False,False
39,4,False,24,0,3,0,False,False
40,4,False,8,0,23,0,False,False
41,4,False,26,0,1,0,False,False
42,4,False,4,0,10,0,False,False
43,4,False,25,0,2,0,False,False
44,4,False,11,0,21,0,False,False
45,4,False,31,0,15,0,False,False
46,4,False,5,0,12,0,False,False
47,4,False,28,0,9,0,False,False
48,5,False,6,0,30,0,False,False
49,5,False,5,0,14,0,False,False
50,5,False,11,0,18,0,False,False
51,5,False,10,0,17,0,False,False
52,5,False,2,0,4,0,False,False
53,5,False,29,0,28,0,False,False
54,5,False,7,0,31,0,False,False
55,5,False,22,0,20,0,False,False
56,5,False,12,0,8,0,False,False
57,6,False,7,0,25,0,False,False
58,6,False,30,0,6,0,False,False
59,6,False,21,0,11,0,False,False
60,6,False,16,0,29,0,False,False
61,6,False,1,0,5,0,False,False
62,6,False,24,0,22,0,False,False
63,6,False,3,0,13,0,False,False
64,6,False,23,0,26,0,False,False
