Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,10,4,8,5,True,True
2,1,True,30,4,18,3,True,True
3,1,True,3,5,22,2,False,False
4,1,True,19,3,27,4,False,False
5,1,True,6,1,29,7,False,False
6,1,True,13,1,21,2,False,False
7,1,True,2,4,1,1,False,False
8,1,True,7,7,17,1,False,False
9,1,True,28,8,20,4,False,False
10,1,True,14,2,26,8,False,False
11,1,True,15,1,12,9,False,False
12,1,True,23,10,25,2,False,False
13,1,True,31,0,4,1,False,False
14,1,True,11,4,24,7,False,False
15,1,True,16,3,9,7,False,False
16,2,True,17,2,5,11,False,False
17,2,True,25,1,31,10,False,False
18,2,True,1,0,2,8,False,False
19,2,True,21,9,30,4,False,False
20,2,True,4,4,15,1,False,False
21,2,True,12,9,10,1,False,False
22,2,True,20,4,11,7,False,False
23,2,True,23,1,7,8,False,False
24,2,True,6,3,3,4,True,False
25,2,True,16,3,13,4,False,False
26,2,True,29,8,19,0,False,False
27,2,True,26,4,14,5,True,False
28,2,True,22,7,28,4,False,False
29,2,True,27,5,18,4,False,False
30,2,True,9,3,24,0,False,False
31,3,True,24,8,6,0,False,False
32,3,True,12,9,23,2,False,False
33,3,True,21,1,16,9,False,False
34,3,True,5,7,8,1,False,False
35,3,True,11,9,20,5,False,False
36,3,True,18,4,30,7,False,False
37,3,True,31,3,7,2,False,False
38,3,True,29,0,3,3,False,False
39,3,True,28,1,9,9,False,False
40,3,True,26,3,4,4,True,False
41,3,True,2,8,1,0,False,False
42,3,True,15,3,17,6,False,False
43,3,True,10,6,25,5,False,False
44,3,True,19,1,22,10,False,False
45,3,True,27,4,13,3,False,False
46,4,True,23,6,14,5,True,False
47,4,True,8,0,5,9,False,False
48,4,True,9,7,19,0,False,False
49,4,True,17,0,2,9,False,False
50,4,True,27,1,29,2,False,False
51,4,True,20,1,16,8,False,False
52,4,True,4,12,10,2,False,False
53,4,True,1,4,15,3,False,False
54,4,True,21,4,28,5,False,False
55,4,True,25,0,26,9,False,False
56,4,True,22,6,11,8,False,False
57,4,True,30,8,6,7,False,False
58,4,True,31,1,12,7,False,False
59,4,True,24,1,3,3,False,False
60,4,True,18,2,13,6,False,False
61,5,True,7,6,23,2,False,False
62,5,True,28,6,27,10,False,False
63,5,True,8,1,31,6,False,False
64,5,True,20,7,21,6,True,True
65,5,True,14,2,5,5,False,False
66,5,True,3,3,24,4,False,False
67,5,True,26,8,25,0,False,False
68,5,True,17,0,1,6,False,False
69,5,True,13,4,18,0,False,False
70,5,True,30,6,22,9,False,False
71,5,True,19,2,29,3,False,False
72,5,True,12,1,4,2,True,False
73,5,True,11,0,9,9,False,False
74,5,True,16,6,6,2,False,False
75,5,True,15,1,2,9,False,False
76,6,True,14,0,7,9,False,False
77,6,True,10,5,8,3,False,False
78,6,True,22,10,21,5,False,False
79,6,True,5,10,15,1,False,False
80,6,True,26,6,23,0,False,False
81,6,True,9,11,20,0,False,False
82,6,True,4,3,12,2,False,False
83,6,True,27,1,16,2,False,False
84,6,True,2,4,17,0,False,False
85,6,True,6,6,11,7,True,True
86,6,True,30,4,19,6,False,False
87,6,True,3,8,28,1,False,False
88,6,True,25,0,31,8,False,False
89,6,True,29,2,13,1,False,False
90,6,True,18,1,24,8,False,False
91,7,True,1,7,10,6,True,True
92,7,True,8,4,14,7,False,False
93,7,True,13,9,30,1,False,False
94,7,True,21,3,27,9,False,False
95,7,True,7,3,26,2,True,False
96,7,True,2,2,5,3,False,False
97,7,True,3,4,16,3,False,False
98,7,True,4,8,17,0,False,False
99,7,True,29,8,6,1,False,False
100,7,True,25,4,23,10,False,False
101,7,True,20,1,22,9,False,False
102,7,True,31,10,15,1,False,False
103,7,True,11,9,19,4,False,False
104,7,True,24,11,18,1,False,False
105,8,True,9,8,28,2,False,False
106,8,True,10,0,12,8,False,False
107,8,True,1,0,7,2,False,False
108,8,True,14,3,8,5,False,False
109,9,True,21,2,29,10,False,False
110,9,True,26,7,4,4,False,False
111,9,True,12,3,2,1,False,False
112,9,True,28,7,11,8,True,True
113,9,True,15,4,25,5,False,False
114,9,True,17,0,31,9,False,False
115,9,True,13,2,9,5,False,False
116,9,True,6,0,27,6,False,False
