InternalNumber,UniqueID,Name,URLLink,Team,Country,AgeDate,Age,Weight,Height,PosC,PosLW,PosRW,PosD,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,ExcludeFromSalaryCap,ProSalaryInFarm,StarPower,SalaryAverage,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,NHLID,DraftYear,DraftOverallPick,DraftOriginalTeam,Empty5,Jersey,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,Overall,ProGP,ProShots,ProG,ProA,ProPoint,ProPlusMinus,ProPim,Pro5Pim,ProShotsBlock,ProOwnShotsBlock,ProOwnShotsMissGoal,ProHits,ProHitsTook,ProGW,ProGT,ProFaceOffWon,ProFaceOffTotal,ProPenalityShotsScore,ProPenalityShotsTotal,ProEmptyNetGoal,ProSecondPlay,ProHatTrick,ProPPG,ProPPA,ProPPShots,ProPPSecondPlay,ProPKG,ProPKA,ProPKShots,ProPKSecondPlay,ProGiveAway,ProTakeAway,ProPuckPossesionTime,ProFightW,ProFightL,ProFightT,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGP,FarmShots,FarmG,FarmA,FarmPoint,FarmPlusMinus,FarmPim,Farm5Pim,FarmShotsBlock,FarmOwnShotsBlock,FarmOwnShotsMissGoal,FarmHits,FarmHitsTook,FarmGW,FarmGT,FarmFaceOffWon,FarmFaceOffTotal,FarmPenalityShotsScore,FarmPenalityShotsTotal,FarmEmptyNetGoal,FarmSecondPlay,FarmHatTrick,FarmPPG,FarmPPA,FarmPPShots,FarmPPSecondPlay,FarmPKG,FarmPKA,FarmPKShots,FarmPKSecondPlay,FarmGiveAway,FarmTakeAway,FarmPuckPossesionTime,FarmFightW,FarmFightL,FarmFightT,FarmStar(1),FarmStar(2),FarmStar(3),GameInRowWithAGoal,GameInRowWithAPoint,GameInRowWithOutAGoal,GameInRowWithOutAPoint,FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,Empty6
1,3875,Riley Stillman,https://www.tsn.ca/nhl/player-bio/riley-stillman,6,ONT,1998-03-08,22,190,73,False,False,False,True,1,False,False,False,False,False,True,True,False,False,False,0,773333,773333,0,0,0,0,0,0,0,0,0,,0,100,0,8479388,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,82,85,87,69,73,77,77,59,25,51,47,87,25,47,47,63,50,66,11,13,1,1,2,-8,4,0,17,3,5,28,6,0,0,0,0,0,0,0,11962,0,0,0,2,205,0,0,0,1054,0,0,1095,0,0,0,0,0,1,0,230,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,
2,3876,Dominik Kahun,https://www.tsn.ca/nhl/player-bio/dominik-kahun,6,CZE,1995-07-01,25,175,69,True,True,True,False,1,False,False,False,False,False,True,True,False,False,False,0,925000,925000,0,0,0,0,0,0,0,0,0,,0,100,0,8480946,0,0,0,,0,3,1,1,1,1,1,1,1,1,1,57,40,95,83,62,65,86,66,45,77,72,57,25,59,59,71,50,65,9,11,0,2,2,0,0,0,2,2,7,0,4,0,0,5,16,0,0,0,7598,0,0,1,1,127,0,0,0,649,0,0,372,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,
3,3877,Evgenii Dadonov,https://www.tsn.ca/nhl/player-bio/evgenii-dadonov,3,RUS,1989-03-12,31,185,71,False,True,True,False,5,False,False,False,False,False,True,True,False,False,True,0,7200000,7200000,7200000,7200000,7200000,7200000,0,0,0,0,0,,0,100,0,8474149,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,63,41,95,85,67,75,93,89,25,76,86,53,25,65,65,79,50,71,10,34,4,4,8,3,2,0,0,10,27,3,19,0,0,5,15,0,0,0,11728,0,1,0,11,2174,0,0,1,517,0,0,1313,0,0,0,0,1,0,40,1365,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
4,4,Luke Schenn,http://www.tsn.ca/nhl/player-bio/luke-schenn,1,SKW,1989-11-01,31,229,74,False,False,False,True,2,False,False,False,False,True,True,True,False,False,False,0,1150000,1150000,1150000,0,0,0,0,0,0,0,0,,0,100,0,8474568,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,98,71,74,72,83,59,62,55,25,47,48,75,25,77,78,61,50,66,11,5,0,1,1,2,18,0,17,1,6,27,4,0,0,0,0,0,0,0,10415,0,0,0,0,46,0,0,0,1215,0,0,616,0,0,0,0,0,0,335,710,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,
6,4192,Rem Pitlick,https://www.tsn.ca/nhl/player-bio/rem-pitlick,6,ONT,1997-04-01,23,196,71,True,True,True,False,2,True,False,False,False,False,True,True,False,False,False,0,925000,925000,925000,0,0,0,0,0,0,0,0,,0,100,0,8479514,0,0,0,,0,0,3,3,3,3,3,3,3,3,3,74,70,82,65,70,66,68,60,75,53,62,63,59,44,44,62,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,3042,Erik Gustafsson,https://www.tsn.ca/nhl/player-bio/erik-gustafsson,20,SWE,1992-03-14,28,176,72,False,False,False,True,2,False,False,False,False,False,True,True,False,False,False,0,2000000,2000000,2000000,0,0,0,0,0,0,0,0,,0,100,0,8476979,0,0,0,,0,3,2,2,2,2,2,2,2,2,2,78,48,87,83,65,83,88,82,25,71,56,61,75,64,65,66,50,68,12,13,0,4,4,-5,8,0,9,5,4,25,13,0,0,0,0,0,0,0,14606,0,0,1,8,1824,0,0,0,665,0,0,1299,0,0,0,0,0,0,65,685,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,
8,8,Jordan Staal,http://www.tsn.ca/nhl/player-bio/jordan-staal,17,ONT,1988-09-10,32,220,76,True,False,False,False,1,False,False,False,False,False,True,True,False,False,False,0,6500000,6500000,0,0,0,0,0,0,0,0,0,,0,100,0,8473533,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,87,46,83,78,83,76,76,69,96,73,62,81,25,83,88,71,50,71,11,23,1,5,6,-4,10,0,6,6,25,26,32,0,0,199,332,0,1,0,13728,0,0,2,1,1898,0,0,1,2325,0,0,1216,0,0,0,0,0,1,200,990,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,
9,4448,Brogan Raferty,,26,USA,1995-05-28,25,192,74,False,False,False,True,1,True,False,False,False,False,True,True,False,False,False,0,700000,700000,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,,0,2,2,2,2,2,2,2,2,2,2,78,72,92,64,72,64,66,60,25,60,43,44,44,59,50,61,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,3878,Miro Heiskanen,https://www.eliteprospects.com/player/250075/miro-heiskanen,2,FIN,1999-07-18,21,170,72,False,False,False,True,2,False,False,False,False,False,True,True,False,False,False,0,3394166,3394166,3394166,0,0,0,0,0,0,0,0,,0,100,0,8480036,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,67,41,93,88,64,89,92,79,25,69,53,80,25,60,61,70,50,72,11,20,2,4,6,3,6,0,13,9,13,19,10,0,0,0,0,0,0,0,16355,0,1,2,12,2421,0,0,0,1996,0,0,2296,0,0,0,0,0,1,0,1505,1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,
11,3326,Casey Nelson,http://www.tsn.ca/nhl/player-bio/casey-nelson,15,USA,1992-07-18,28,190,73,False,False,False,True,2,False,False,False,False,False,True,True,False,False,False,0,800000,800000,800000,0,0,0,0,0,0,0,0,,0,100,0,8479268,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,77,71,92,68,71,59,63,48,25,37,41,65,39,59,59,53,50,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
