Team Number,Prospect Name,Year,Overall Pick
24,Alexis Lafreniere,2020,1
6,Quinton Byfield,2020,2
21,Spencer Watson,2014,101
28,Bowen Byram,2019,3
29,Mattias Norlinder,2019,77
15,Tim Stuetzle,2020,3
12,Alex Turcotte,2019,4
25,Lucas Raymond,2020,4
22,Marco Rossi,2020,5
10,Cole Perfetti,2020,6
31,Jamie Drysdale,2020,7
8,Trevor Zegras,2019,5
8,Iaroslav Askarov,2020,8
16,Jake Sanderson,2020,9
18,Alexander Holtz,2020,10
25,Seth Jarvis,2020,11
25,Vasili Podkolzin,2019,6
26,Oliver Wahlstrom,2018,8
15,Jack Quinn,2020,12
15,Evan Bouchard,2018,10
11,Owen Tippett,2017,7
31,Anton Lundell,2020,13
14,Rodion Amirov,2020,14
31,Dawson Mercer,2020,15
17,Spencer Knight,2019,8
8,Logan Stanley,2016,14
24,Cole Caufield,2019,9
31,Vitali Kravtsov,2018,11
17,Dylan Cozens,2019,10
31,Adam Beckman,2019,78
2,Roby Jarventie,2020,16
8,Dylan Holloway,2020,17
11,Philip Broberg,2019,11
25,Peyton Krebs,2019,12
20,Lukas Reichel,2020,18
25,Hendrix Lapierre,2020,19
31,Connor Zary,2020,20
16,Moritz Seider,2019,13
30,Alex Newhook,2019,14
25,Julien Gauthier,2016,23
22,Yegor Chinakhov,2020,21
1,Mavrik Bourque,2020,22
1,Jacob Perreault,2020,23
24,Kaiden Guhle,2020,24
24,Joe Veleno,2018,15
1,Adam Ruzicka,2017,93
1,Josh Wesley,2014,103
29,Riley Tufte,2016,26
12,Ty Dellandrea,2018,16
30,Helge Grans,2020,25
19,Tyson Foerster,2020,26
9,Braden Schneider,2020,27
20,Brendan Brisson,2020,28
15,John-Jason Peterka,2020,29
9,Marat Khusnutdinov,2020,30
17,Ozzy Wiesblatt,2020,31
24,Ridly Greig,2020,32
14,William Wallinder,2020,33
18,Matthew Boldy,2019,15
17,Ville Heinola,2019,16
24,Croix Evingson,2017,215
25,Justin Barron,2020,34
10,Jerome Gauthier-Leduc,2010,97
16,Grigori Denisenko,2018,17
17,Lassi Thomson,2019,17
29,Victor Soderstrom,2019,18
23,Cam York,2019,19
21,Pascal Laberge,2016,30
1,Noel Gunler,2020,35
10,Shakir Mukhamadullin,2020,36
12,Josh Norris,2017,21
17,Nils Hoglander,2019,20
21,Serron Noel,2018,18
12,Reilly Walsh,2017,94
28,Thomas Harley,2019,21
8,Tyler Benson,2016,33
9,Jake Neighbours,2020,37
31,Ryan O'Rourke,2020,38
2,Ty Smith,2018,20
8,Thomas Bordeleau,2020,39
10,Cal Foote,2017,22
25,Nicolas Beaudin,2018,21
14,Philip Tomasino,2019,22
16,Tristen Robins,2020,40
14,Tobias Bjornfot,2019,23
6,Jonatan Berggren,2018,22
1,Samuel Poulin,2019,24
18,Sam Colangelo,2020,41
26,Kristian Vesalainen,2017,24
6,Dominik Bokk,2018,23
19,Jasper Weatherby,2018,120
9,Drew Commesso,2020,42
24,Cameron Morrison,2016,37
31,K'Andre Miller,2018,24
25,Emil Heineman,2020,43
31,Nick Henry,2017,95
30,Arthur Kaliyev,2019,25
11,Jan Mysak,2020,44
25,Vasiliy Ponomarev,2020,45
28,Luke Evangelista,2020,46
2,Joel Blomqvist,2020,47
15,Ryan Suzuki,2019,26
1,Yegor Korshkov,2016,40
14,Connor McMichael,2019,27
30,Jakob Pelletier,2019,28
5,Ryan Merkley,2018,26
24,Daniel Torgersson,2020,48
3,Markus Phillips,2017,96
12,Theodor Niederbach,2020,49
9,Jack Finley,2020,50
31,Pierre-Olivier Joseph,2017,31
6,Filip Gustavsson,2016,43
9,Jeremie Poirier,2020,51
24,Luke Tuch,2020,52
31,Tyler Parsons,2016,46
11,Isaac Ratcliffe,2017,32
