Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,False,10,0,8,0,False,False
2,1,False,30,0,18,0,False,False
3,1,False,3,0,22,0,False,False
4,1,False,19,0,27,0,False,False
5,1,False,6,0,29,0,False,False
6,1,False,13,0,21,0,False,False
7,1,False,2,0,1,0,False,False
8,1,False,7,0,17,0,False,False
9,1,False,28,0,20,0,False,False
10,1,False,14,0,26,0,False,False
11,1,False,15,0,12,0,False,False
12,1,False,23,0,25,0,False,False
13,1,False,31,0,4,0,False,False
14,1,False,11,0,24,0,False,False
15,1,False,16,0,9,0,False,False
16,2,False,17,0,5,0,False,False
17,2,False,25,0,31,0,False,False
18,2,False,1,0,2,0,False,False
19,2,False,21,0,30,0,False,False
20,2,False,4,0,15,0,False,False
21,2,False,12,0,10,0,False,False
22,2,False,20,0,11,0,False,False
23,2,False,23,0,7,0,False,False
24,2,False,6,0,3,0,False,False
25,2,False,16,0,13,0,False,False
26,2,False,29,0,19,0,False,False
27,2,False,26,0,14,0,False,False
28,2,False,22,0,28,0,False,False
29,2,False,27,0,18,0,False,False
30,2,False,9,0,24,0,False,False
31,3,False,24,0,6,0,False,False
32,3,False,12,0,23,0,False,False
33,3,False,21,0,16,0,False,False
34,3,False,5,0,8,0,False,False
35,3,False,11,0,20,0,False,False
36,3,False,18,0,30,0,False,False
37,3,False,31,0,7,0,False,False
38,3,False,29,0,3,0,False,False
39,3,False,28,0,9,0,False,False
40,3,False,26,0,4,0,False,False
41,3,False,2,0,1,0,False,False
42,3,False,15,0,17,0,False,False
43,3,False,10,0,25,0,False,False
44,3,False,19,0,22,0,False,False
45,3,False,27,0,13,0,False,False
46,4,False,23,0,14,0,False,False
47,4,False,8,0,5,0,False,False
48,4,False,9,0,19,0,False,False
49,4,False,17,0,2,0,False,False
50,4,False,27,0,29,0,False,False
51,4,False,20,0,16,0,False,False
52,4,False,4,0,10,0,False,False
53,4,False,1,0,15,0,False,False
54,4,False,21,0,28,0,False,False
55,4,False,25,0,26,0,False,False
56,4,False,22,0,11,0,False,False
57,4,False,30,0,6,0,False,False
58,4,False,31,0,12,0,False,False
59,4,False,24,0,3,0,False,False
60,4,False,18,0,13,0,False,False
61,5,False,7,0,23,0,False,False
62,5,False,28,0,27,0,False,False
63,5,False,8,0,31,0,False,False
64,5,False,20,0,21,0,False,False
65,5,False,14,0,5,0,False,False
66,5,False,3,0,24,0,False,False
67,5,False,26,0,25,0,False,False
68,5,False,17,0,1,0,False,False
69,5,False,13,0,18,0,False,False
70,5,False,30,0,22,0,False,False
71,5,False,19,0,29,0,False,False
72,5,False,12,0,4,0,False,False
73,5,False,11,0,9,0,False,False
74,5,False,16,0,6,0,False,False
75,5,False,15,0,2,0,False,False
76,6,False,14,0,7,0,False,False
77,6,False,10,0,8,0,False,False
78,6,False,22,0,21,0,False,False
79,6,False,5,0,15,0,False,False
80,6,False,26,0,23,0,False,False
81,6,False,9,0,20,0,False,False
82,6,False,4,0,12,0,False,False
83,6,False,27,0,16,0,False,False
84,6,False,2,0,17,0,False,False
85,6,False,6,0,11,0,False,False
86,6,False,30,0,19,0,False,False
87,6,False,3,0,28,0,False,False
88,6,False,25,0,31,0,False,False
89,6,False,29,0,13,0,False,False
90,6,False,18,0,24,0,False,False
91,7,False,1,0,10,0,False,False
92,7,False,8,0,14,0,False,False
93,7,False,13,0,30,0,False,False
94,7,False,21,0,27,0,False,False
95,7,False,7,0,26,0,False,False
96,7,False,2,0,5,0,False,False
97,7,False,3,0,16,0,False,False
98,7,False,4,0,17,0,False,False
99,7,False,29,0,6,0,False,False
100,7,False,25,0,23,0,False,False
101,7,False,20,0,22,0,False,False
102,7,False,31,0,15,0,False,False
103,7,False,11,0,19,0,False,False
104,7,False,24,0,18,0,False,False
105,8,False,9,0,28,0,False,False
106,8,False,10,0,12,0,False,False
107,8,False,1,0,7,0,False,False
108,8,False,14,0,8,0,False,False
109,9,False,21,0,29,0,False,False
110,9,False,26,0,4,0,False,False
111,9,False,12,0,2,0,False,False
112,9,False,28,0,11,0,False,False
113,9,False,15,0,25,0,False,False
114,9,False,17,0,31,0,False,False
115,9,False,13,0,9,0,False,False
116,9,False,6,0,27,0,False,False
117,9,False,24,0,30,0,False,False
118,9,False,16,0,3,0,False,False
119,9,False,19,0,20,0,False,False
120,9,False,5,0,1,0,False,False
121,9,False,23,0,14,0,False,False
122,9,False,8,0,10,0,False,False
123,9,False,18,0,22,0,False,False
124,10,False,18,0,21,0,False,False
125,10,False,5,0,26,0,False,False
126,10,False,4,0,7,0,False,False
127,10,False,20,0,3,0,False,False
128,10,False,24,0,27,0,False,False
129,10,False,9,0,6,0,False,False
130,10,False,28,0,16,0,False,False
131,10,False,2,0,12,0,False,False
132,10,False,17,0,25,0,False,False
133,10,False,29,0,11,0,False,False
134,10,False,30,0,13,0,False,False
135,10,False,23,0,15,0,False,False
136,10,False,22,0,19,0,False,False
137,10,False,14,0,31,0,False,False
138,10,False,1,0,8,0,False,False
139,11,False,4,0,5,0,False,False
140,11,False,23,0,10,0,False,False
141,11,False,24,0,28,0,False,False
142,11,False,3,0,21,0,False,False
143,11,False,12,0,26,0,False,False
144,11,False,29,0,18,0,False,False
145,11,False,25,0,17,0,False,False
146,11,False,31,0,2,0,False,False
147,11,False,6,0,20,0,False,False
148,11,False,22,0,30,0,False,False
149,11,False,19,0,9,0,False,False
150,11,False,15,0,14,0,False,False
151,11,False,7,0,1,0,False,False
152,11,False,13,0,16,0,False,False
153,12,False,8,0,4,0,False,False
154,12,False,27,0,24,0,False,False
155,12,False,15,0,23,0,False,False
156,12,False,11,0,29,0,False,False
157,12,False,7,0,5,0,False,False
158,12,False,2,0,10,0,False,False
159,12,False,3,0,6,0,False,False
160,12,False,20,0,28,0,False,False
161,12,False,17,0,26,0,False,False
