Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Alain Vigneault,1,Rangers,CAN,55,72,60,70,85,63,71,70,2,5000000
Brad Shaw,3,,CAN,52,52,63,62,73,46,51,58,3,600000
Barry Trotz,4,Oilers,CAN,54,88,99,70,85,99,95,89,4,5000000
Brad Larsen,5,,CAN,42,52,63,62,73,45,46,57,3,600000
Ian Laperriere,7,,CAN,45,54,44,57,52,45,46,50,3,400000
David Quinn,8,Flyers,USA,53,93,66,68,55,65,46,66,1,3000000
Willie Desjardins,9,,CAN,59,84,69,57,81,73,53,70,0,2500000
Mike Knuble,10,,CAN,46,31,57,50,51,47,35,45,3,400000
Bruce Boudreau,11,Kings,CAN,61,64,81,60,82,95,83,78,2,3500000
Bruce Cassidy,12,Wild,CAN,51,78,94,84,57,74,70,76,3,3750000
Craig Berube,13,Blackhawks,CAN,50,66,91,78,88,70,61,76,2,2500000
Guy Boucher,14,Red Wings,CAN,48,63,45,65,65,73,60,62,3,1500000
Claude Julien,15,Flames,CAN,56,96,82,80,78,99,88,87,2,5000000
Martin Gelinas,16,Barracudas,CAN,46,41,65,73,55,45,46,54,1,675000
Dave Barr,17,,CAN,59,47,53,73,48,45,46,52,1,500000
John Slaney,18,,CAN,48,37,67,59,60,47,35,51,0,600000
Brent Thompson,20,,CAN,45,73,49,59,69,57,47,59,0,0
Martin Raymond,22,,CAN,52,55,41,56,56,45,46,50,3,100000
Dean Evason,26,Islanders,CAN,52,48,61,45,62,45,46,51,1,1400000
Derek Laxdal,28,,CAN,52,47,41,62,56,56,45,51,0,1000000
Ryan Craig,29,,CAN,37,73,64,60,70,45,46,60,3,800000
Gord Dineen,31,,CAN,54,37,67,59,60,50,41,52,0,800000
Ryan McGill,32,,CAN,50,73,64,60,70,45,46,60,3,800000
Jared Bednar,33,Canadiens,CAN,44,67,77,85,60,71,52,69,1,2000000
Dave Lowry,34,,CAN,55,63,52,43,61,45,46,52,1,1000000
Don Nachbaur,36,,CAN,60,63,52,43,61,45,46,52,3,600000
John Hynes,37,,USA,56,85,63,63,66,73,53,67,1,2000000
Jacques Martin,38,,CAN,67,74,59,68,59,81,77,70,1,2650000
Jon Cooper,39,Senators,CAN,37,91,93,99,58,82,76,83,2,4500000
Joel Quenneville,40,Maple Leafs,CAN,58,45,45,70,75,99,99,72,5,5000000
Keith McCambridge,41,,CAN,42,67,67,58,53,59,43,58,0,0
John Torchetti,42,,USA,53,53,46,51,63,47,52,52,0,770000
John Tortorella,43,Panthers,USA,61,69,84,82,97,99,89,87,1,3750000
Ken Hitchcock,44,Avalanche,CAN,64,94,64,72,63,99,97,82,3,1500000
Marc Crawford,45,Lightning,CAN,59,73,55,75,75,99,83,77,1,1500000
Mike Van Ryn,47,IceHogs,CAN,40,50,68,59,66,45,46,56,1,1340000
Mike Stothers,48,,CAN,56,74,35,43,46,55,49,50,0,750000
Lindy Ruff,50,Admirals,CAN,56,70,50,51,41,81,83,63,1,900000
Rocky Thompson,51,Marlies,CAN,43,65,59,51,59,50,48,55,3,750000
Dallas Eakins,52,Bears,USA,49,64,61,41,44,62,48,53,2,800000
Rick Kowalsky,53,,CAN,44,64,47,47,50,45,46,50,0,0
Steve Ott,54,Crunch,CAN,38,50,68,59,66,45,46,56,1,700000
Mike Babcock,56,Capitals,CAN,53,58,74,94,99,99,90,86,3,6000000
Mark Recchi,57,,CAN,52,74,59,68,59,45,46,59,3,600000
Joel Bouchard,58,Rampage ,CAN,46,58,74,55,79,49,35,58,2,800000
Mike Sullivan,60,Coyotes,USA,52,99,79,91,79,80,80,85,1,4500000
Ryan Huska,62,,CAN,41,41,65,73,55,45,46,54,1,1100000
Paul Maurice,63,Bruins,CAN,49,77,78,90,61,99,76,80,3,4000000
Peter Laviolette,64,Predators,USA,51,60,96,73,77,99,87,82,1,3000000
Randy Carlyle,65,,CAN,60,71,64,45,57,95,79,68,1,3500000
Kris Knoblauch,66,,CAN,42,54,44,57,52,45,46,50,3,400000
Todd Nelson,70,,CAN,47,57,73,44,65,48,40,55,0,600000
Luke Richardson,71,,CAN,51,66,74,53,64,45,46,58,3,400000
Roy Sommer,73,,USA,59,47,37,49,43,74,55,51,0,750000
Travis Green,74,Canucks,CAN,46,75,72,64,72,68,48,67,2,1750000
Scott Arniel,75, Americans,CAN,54,59,57,70,53,49,44,55,3,900000
Scott Gordon,76,Penguins,USA,57,72,58,76,69,70,47,65,1,900000
Troy Mann,77,Heat,CAN,48,38,56,61,38,57,47,50,2,700000
Dave Hakstol,78,,USA,51,60,46,60,57,72,58,59,0,5000000
Terry Murray,80,,CAN,66,48,65,67,35,74,57,58,0,1800000
Todd Richards,81,Jets,USA,50,68,70,74,44,57,59,62,2,950000
Scott Gomez,82,,CAN,41,66,74,53,64,45,46,58,3,400000
John Gruden,84,,USA,50,66,74,53,64,45,46,58,3,1200000
Trent Yawney,85,,CAN,52,71,48,54,47,48,39,51,1,450000
Bob Boughner,86,Sabres,CAN,49,82,60,87,76,68,57,72,1,2000000
Andrew Brewer,87,Bruins,CAN,34,44,56,71,74,45,46,56,2,700000
Kevin Dineen,89,,CAN,53,40,40,56,58,49,46,48,1,1000000
Dom Ducharme,90,,CAN,47,72,62,60,59,45,46,57,3,600000
Matt Carkner,91,,CAN,39,62,42,50,59,47,35,49,1,500000
Kirk Muller,93,Stars,CAN,50,72,62,60,59,50,51,59,2,700000
Lane Lambert,94,,CAN,53,66,74,53,64,45,46,58,0,800000
Stu Barnes,96,,CAN,50,57,73,44,65,45,46,55,3,400000
John Stevens,97,,CAN,50,69,54,45,66,75,59,61,1,3000000
Mike Yeo,99,,CAN,43,51,76,63,73,79,65,68,0,1000000
Glen Gulutzan,100,,CAN,46,71,48,54,47,53,59,55,0,700000
Reid Cashman,101,,USA,37,59,57,70,53,45,46,55,1,500000
Peter DeBoer,102,Golden Knights,CAN,48,63,70,97,64,92,69,76,1,3000000
John MacLean,103,,CAN,56,65,68,46,71,46,34,55,3,400000
Bill Peters,104,Ducks,CAN,56,55,87,97,73,76,57,74,3,4000000
Todd McLellan,106,,CAN,49,79,49,57,48,90,74,66,1,3750000
Davis Payne,107,,CAN,46,46,50,50,72,49,57,54,0,1500000
Dan Bylsma,110,Condors,USA,49,53,46,51,63,65,82,60,2,600000
Rob Cookson,111,,CAN,59,55,41,56,56,45,46,50,1,500000
Greg Cronin,113,,USA,57,69,53,69,65,49,45,58,1,500000
Jack Capuano,114,,USA,49,62,45,65,57,59,60,58,1,2000000
Brett Furguson,115,,CAN,52,54,52,35,37,47,35,43,3,400000
J.J. Daigneault,116,,CAN,53,37,67,59,60,47,35,51,1,500000
Chris Dennis,118,,CAN,52,55,50,43,50,47,35,47,3,400000
Rick Tocchet,119,Sharks,CAN,54,87,91,61,94,72,49,76,2,2000000
Manny Malhotra,120,Gulls,CAN,39,56,54,48,54,45,46,51,3,650000
Clark Donatelli,121,,USA,54,79,56,59,35,53,49,55,1,500000
Paul McFarland,123,,CAN,34,62,45,65,57,45,46,53,3,400000
Spencer Carbery,125,Reign,CAN,39,59,62,75,67,49,48,60,2,700000
