Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Gulls,SDG,San Diego,Pacific Division,Western Conference,0,0,0,0,1171047,0,120,30,50,False,15,0,,W1,5,5,0,0,0,0,0,30,13,15,0,0,0,1,1,29,101,115,15,7,7,0,0,0,0,1,51,60,74,4,66,10,0,930,1170,341,301,316,307,14,42,40,18,1,54642,34960,18998,11818,25602,8206,2,101,148,249,156,507,397,1024,307,711,199,468,0,
2,Moose,MAN,Manitoba,Central Division,Western Conference,0,0,0,0,2363249,0,246,30,50,False,4,0,,W8,9,0,0,1,0,0,0,30,22,6,0,1,0,1,0,48,149,40,15,12,3,0,0,0,0,0,76,21,105,24,137,15,5,996,460,132,336,342,315,10,74,41,32,2,29052,58883,20654,9854,45004,12211,8,149,272,421,313,636,387,665,568,856,280,436,0,
3,Bruins,PRO,Providence,Atlantic,Eastern Conference,284,3088,2941,0,2102875,0,87,30,50,False,13,0,,SOW1,5,3,0,0,0,1,1,30,22,4,0,1,0,1,2,50,155,47,15,11,2,0,1,0,0,1,77,23,85,20,164,15,4,975,484,138,320,283,363,18,70,44,39,3,30329,58088,20536,9852,44507,12007,5,155,274,429,365,620,433,634,619,838,343,456,0,
4, Americans,ROC,Rochester,Central Division,Western Conference,0,0,0,0,1767666,0,75,30,50,False,2,0,,W1,9,1,0,0,0,0,0,30,24,3,0,2,0,0,1,53,168,36,15,10,2,0,2,0,0,1,81,20,106,21,138,14,3,1103,416,120,339,375,381,15,66,58,42,2,26697,61994,19850,9260,48688,11934,13,168,309,477,339,582,408,612,667,909,343,463,0,
5,Heat,STK,Stockton,Pacific Division,Western Conference,0,4262,0,0,1944915,0,77,30,50,False,7,0,,W7,9,0,0,0,0,0,1,30,25,3,0,0,0,0,2,52,166,39,15,12,2,0,0,0,0,1,81,19,106,24,109,10,0,1021,433,126,330,358,331,9,66,55,45,1,27065,61621,19914,9316,47895,12178,8,166,299,465,240,661,297,599,490,853,257,461,0,
6,Checkers,CHR,Charlotte,Atlantic,Eastern Conference,0,0,0,0,4496336,0,283,30,50,False,21,0,,W1,3,6,0,0,0,0,1,30,6,20,0,0,1,0,3,16,99,183,15,3,11,0,0,0,0,1,53,93,87,11,51,15,1,944,1162,345,295,335,308,15,48,30,21,0,51108,38104,19741,11531,28288,9051,0,99,181,280,113,542,274,758,283,715,198,535,1,
7,IceHogs,RCK,Rockford,Central Division,Western Conference,3955,0,0,0,2439583,0,47,30,50,False,10,0,,L1,7,3,0,0,0,0,0,30,21,6,0,1,0,1,1,47,146,43,15,11,3,0,0,0,1,0,72,16,103,18,111,13,1,890,522,152,286,277,325,11,54,43,47,2,28422,60464,19738,9355,47302,11670,8,146,264,410,247,644,366,643,559,816,317,460,0,
8,Eagles,COL,Colorado,Pacific Division,Western Conference,0,0,0,0,1124820,0,233,30,50,False,29,0,,L6,1,9,0,0,0,0,0,30,5,23,0,1,0,1,0,14,81,208,15,3,11,0,0,0,1,0,47,95,72,8,41,9,0,896,1544,456,307,270,307,15,31,27,21,2,60826,27544,20073,12631,18736,8002,0,81,155,236,102,529,293,910,254,642,183,538,0,
9,Monsters,CLE,Cleveland,North,Eastern Conference,0,0,0,0,1931883,0,284,30,50,False,9,0,,W1,8,1,0,0,0,1,0,30,24,2,0,1,0,2,1,55,173,39,15,13,0,0,1,0,1,0,95,22,109,23,130,9,3,1004,422,105,356,311,330,14,78,50,42,4,26965,61757,20439,9478,48224,12330,8,173,312,485,285,595,380,597,602,840,337,490,0,
10,Stars,TEX,Texas,Central Division,Western Conference,0,0,0,0,85000,0,93,30,50,False,23,0,,W1,1,8,0,1,0,0,0,30,4,22,0,1,1,0,2,13,77,199,15,2,10,0,1,1,0,1,43,103,70,5,51,16,2,927,1448,399,300,296,320,20,32,23,21,1,60405,29074,19269,12220,20468,7655,0,77,152,229,129,474,276,860,252,645,154,546,2,
11,Griffins,GRP,Grand Rapids,North,Eastern Conference,0,0,0,0,252333,0,214,30,50,False,17,0,,L4,5,5,0,0,0,0,0,30,13,14,0,0,0,3,0,32,132,173,15,6,6,0,0,0,3,0,67,80,77,15,62,22,1,1049,1075,333,370,357,310,18,57,44,28,4,49117,40116,19667,11127,29964,9339,0,132,213,345,145,585,263,700,305,747,204,554,0,
12,Condors,BKR,Bakersfield,Pacific Division,Western Conference,0,0,0,0,2861834,0,110,30,50,False,5,0,,W2,8,2,0,0,0,0,0,30,23,5,0,0,1,1,0,49,187,43,15,11,3,0,0,0,1,0,91,18,95,23,152,14,6,1161,404,126,386,385,390,5,83,58,45,1,25850,63225,19249,8976,49807,11797,7,187,331,518,377,615,364,590,663,923,362,498,0,
13,Thunderbirds,SPR,Springfield,Atlantic,Eastern Conference,0,0,0,0,2316938,0,235,30,50,False,3,0,,W13,10,0,0,0,0,0,0,30,25,4,0,0,0,1,0,52,159,52,15,12,2,0,0,0,1,0,82,28,101,22,130,18,4,836,482,131,280,247,307,4,68,42,48,1,28634,60332,19334,9236,47194,11371,6,159,291,450,281,613,374,600,510,741,294,459,0,
14,Reign,ONT,Ontario,Pacific Division,Western Conference,0,0,0,0,1126550,0,125,30,50,False,31,0,,L6,0,9,0,0,1,0,0,30,4,22,0,1,3,0,0,13,76,204,15,3,9,0,1,2,0,0,41,96,63,7,41,9,0,889,1486,422,295,336,251,7,29,31,15,1,61058,27976,19463,12493,19559,7708,0,76,149,225,124,479,295,879,249,620,210,553,0,
15,Wild,IOA,Iowa,Central Division,Western Conference,0,0,0,0,1464900,0,137,30,50,False,24,0,,L2,3,7,0,0,0,0,0,30,5,24,0,0,0,0,1,11,74,212,15,5,9,0,0,0,0,1,49,93,63,6,36,7,1,778,1627,452,251,230,289,13,27,20,27,0,64552,24546,19202,12669,16528,7312,0,74,146,220,72,432,302,954,224,597,172,543,0,
16,Rocket,LAV,Laval,North,Eastern Conference,0,0,0,0,1462667,0,129,30,50,False,1,0,,W12,10,0,0,0,0,0,0,30,22,6,0,0,0,1,1,47,171,56,15,12,2,0,0,0,1,0,92,20,108,23,107,16,2,989,486,128,299,351,336,11,55,68,47,3,28352,60908,19340,9322,48154,11377,6,171,304,475,251,551,376,612,492,778,309,470,0,
17,Admirals,MIL,Milwaukee,Central Division,Western Conference,0,0,0,0,329417,0,50,30,50,False,18,0,,L1,5,5,0,0,0,0,0,30,8,22,0,0,0,0,0,16,74,194,15,4,11,0,0,0,0,0,35,93,66,4,42,10,1,843,1440,403,264,269,310,0,29,22,23,0,61478,26945,19577,12568,18618,7671,0,74,146,220,98,483,297,850,230,646,172,508,0,
18,Devils,BNG,Binghamton,North,Eastern Conference,0,0,0,0,2022616,0,255,30,50,False,26,0,,SOL1,1,8,0,0,0,0,1,30,2,26,0,0,0,0,2,6,75,205,15,2,12,0,0,0,0,1,39,92,51,6,55,18,0,779,1498,444,231,280,263,13,33,29,13,0,65130,24255,19215,12569,16159,7402,0,75,148,223,150,522,346,921,249,597,194,548,0,
19,Sound Tigers,BPT,Bridgeport,Atlantic,Eastern Conference,0,0,0,0,140000,0,164,30,50,False,30,0,,L12,0,10,0,0,0,0,0,30,4,25,0,0,0,1,0,10,77,197,15,3,11,0,0,0,1,0,44,100,67,12,39,8,0,892,1452,440,297,285,305,7,33,26,17,1,62224,27635,18441,11721,19456,7269,0,77,147,224,92,497,288,849,258,630,196,520,0,
