Own by Team,From Team,Year,Round
1,1,2022,1
1,10,2021,7
1,1,2024,1
1,1,2022,2
1,1,2022,3
1,3,2021,7
1,1,2025,1
1,1,2023,1
1,1,2022,4
1,31,2022,4
1,1,2024,2
1,1,2022,6
1,1,2024,3
1,1,2022,7
1,1,2025,2
1,1,2024,4
1,10,2021,6
1,3,2021,5
1,1,2024,5
1,1,2024,6
1,1,2024,7
1,3,2021,6
1,22,2021,7
1,1,2025,3
1,1,2025,4
1,30,2021,7
1,1,2025,5
1,3,2023,7
1,1,2025,6
1,1,2025,7
1,13,2021,2
1,32,2021,2
1,16,2021,3
1,32,2021,3
1,1,2023,2
1,1,2023,3
1,1,2023,4
1,1,2023,5
1,1,2023,6
1,1,2023,7
2,2,2023,1
2,2,2024,1
2,10,2021,5
2,2,2022,2
2,2,2021,1
2,2,2022,3
2,2,2024,2
2,2,2024,3
2,2,2022,4
2,2,2025,1
2,2,2024,4
2,12,2021,3
2,2,2024,5
2,2,2022,5
2,2,2025,2
2,2,2024,6
2,2,2024,7
2,2,2025,3
2,2,2023,2
2,2,2025,4
2,2,2025,5
2,2,2025,6
2,2,2022,6
2,2,2021,3
2,2,2025,7
2,19,2021,3
2,2,2021,6
2,7,2021,1
2,2,2022,7
2,19,2021,4
2,7,2021,3
2,2,2023,3
2,2,2023,4
2,12,2021,4
2,2,2023,5
2,2,2023,6
2,2,2023,7
3,3,2024,1
3,3,2025,1
3,3,2024,2
3,3,2024,3
3,3,2024,4
3,3,2024,5
3,3,2024,6
3,3,2023,1
3,16,2021,6
3,13,2021,7
3,3,2023,4
3,3,2023,5
3,3,2023,6
3,3,2025,2
3,3,2024,7
3,3,2025,3
3,3,2025,4
3,3,2025,5
3,3,2025,6
3,3,2025,7
3,26,2021,7
3,12,2021,7
3,12,2021,1
3,27,2021,7
3,6,2021,7
3,2,2021,7
3,18,2022,7
3,6,2023,7
3,1,2021,7
3,15,2021,7
3,4,2021,3
3,14,2021,3
3,14,2022,3
3,31,2021,6
3,4,2021,7
4,4,2023,1
4,4,2023,2
4,4,2021,1
4,4,2023,3
4,6,2021,6
4,4,2023,4
4,4,2023,5
4,4,2023,6
4,4,2023,7
4,14,2021,6
4,4,2025,1
4,6,2021,3
4,4,2024,1
4,4,2024,2
4,29,2021,5
4,31,2021,4
4,4,2025,2
4,4,2025,3
4,4,2025,4
4,4,2025,5
4,4,2025,6
4,4,2025,7
4,4,2022,1
4,4,2022,3
4,4,2022,4
4,4,2022,5
4,4,2022,6
4,29,2021,1
4,4,2022,7
4,4,2021,4
4,4,2024,3
4,4,2024,4
4,4,2024,5
4,4,2024,6
4,4,2024,7
5,5,2022,1
5,5,2025,1
5,6,2022,5
5,5,2025,2
5,5,2024,1
5,5,2024,2
5,5,2024,3
5,5,2021,1
5,5,2025,3
5,5,2024,4
5,5,2022,2
5,5,2023,1
5,32,2021,6
5,5,2024,5
5,5,2023,2
5,5,2022,4
5,5,2025,4
5,5,2025,5
5,5,2025,6
5,5,2021,4
5,5,2024,6
5,5,2022,5
5,5,2023,3
5,5,2022,6
5,5,2022,7
5,5,2025,7
5,5,2024,7
5,5,2023,4
5,5,2021,5
5,5,2023,5
5,5,2023,6
5,5,2023,7
5,5,2021,6
5,5,2021,7
6,6,2022,1
6,3,2021,2
6,27,2023,5
6,6,2025,1
6,6,2024,1
6,6,2025,2
6,6,2025,3
6,6,2024,2
6,6,2022,3
6,3,2022,1
6,6,2024,3
6,6,2025,4
6,6,2024,4
6,6,2024,5
6,6,2025,5
6,6,2024,6
6,13,2021,3
6,6,2025,6
6,6,2025,7
6,6,2023,1
6,6,2024,7
6,6,2023,2
6,12,2021,2
6,23,2021,2
6,6,2023,3
6,6,2023,4
6,6,2023,5
6,6,2023,6
6,2,2021,2
6,32,2022,3
6,10,2022,1
6,27,2022,1
6,10,2022,2
6,28,2021,2
6,27,2022,3
6,3,2023,3
6,16,2022,1
6,6,2021,2
6,16,2022,2
6,3,2022,2
6,27,2022,2
6,22,2022,3
6,27,2023,4
7,7,2025,1
7,7,2022,1
7,7,2023,1
7,26,2021,6
7,7,2023,2
7,7,2022,2
7,7,2022,3
7,7,2023,3
7,9,2021,5
7,7,2025,2
7,7,2022,4
7,7,2023,4
7,7,2023,5
7,7,2023,6
7,7,2021,4
7,7,2024,1
7,7,2025,3
7,7,2021,5
7,7,2023,7
7,7,2025,4
7,7,2025,5
7,7,2025,6
7,7,2025,7
7,8,2021,7
7,7,2022,5
7,7,2021,6
7,7,2021,7
7,4,2021,5
7,7,2024,2
7,7,2024,3
7,7,2024,4
7,7,2024,5
7,7,2022,6
7,7,2024,6
7,7,2024,7
7,3,2022,7
8,8,2023,1
8,22,2021,3
8,8,2025,1
8,8,2023,2
8,8,2025,2
8,8,2025,3
8,8,2024,1
8,8,2021,1
8,8,2023,3
8,8,2024,2
8,8,2025,4
8,8,2024,3
8,8,2023,4
8,8,2023,5
8,8,2025,5
8,8,2025,6
8,8,2025,7
8,8,2021,2
8,8,2023,7
8,8,2021,3
8,8,2024,4
8,8,2022,1
8,8,2022,2
8,8,2022,3
8,8,2024,5
8,8,2022,4
8,8,2022,5
8,8,2024,6
8,8,2024,7
8,8,2022,7
9,9,2024,1
9,14,2022,5
9,9,2024,2
9,9,2025,1
9,9,2024,3
9,9,2024,4
9,9,2025,2
9,9,2024,5
9,27,2021,6
9,9,2024,6
9,9,2023,1
9,9,2024,7
9,28,2022,4
9,9,2025,3
9,9,2023,2
9,9,2023,3
9,9,2025,4
9,9,2025,5
9,9,2025,6
9,9,2022,1
9,9,2023,4
9,9,2025,7
9,7,2022,7
9,9,2021,6
9,25,2021,5
9,8,2022,6
9,9,2022,5
9,9,2022,6
9,9,2022,7
9,9,2023,5
9,9,2023,6
9,9,2023,7
9,22,2022,6
10,10,2024,1
10,10,2024,2
10,10,2023,1
10,10,2021,2
10,13,2022,2
10,10,2025,1
10,10,2022,3
10,10,2024,3
10,10,2022,4
10,10,2024,4
10,10,2023,2
10,10,2025,2
10,10,2023,3
10,10,2025,3
10,10,2024,5
10,10,2023,4
10,10,2024,6
10,10,2025,4
10,10,2025,5
10,10,2021,3
10,10,2024,7
10,10,2025,6
10,10,2025,7
10,10,2022,6
10,10,2022,7
10,10,2023,5
10,10,2023,6
10,10,2023,7
11,11,2024,1
11,11,2024,2
11,22,2021,4
