Number,Team,Transaction
1,9,[2012-10-11 14:15:57] - Douglas Murray was added to Blue Jackets.
2,9,[2012-10-11 14:15:57] - Douglas Murray signed with Blue Jackets for 4.000.000 kr for 3 year(s) with 2.000.000 kr in bonus.
3,8,[2012-10-11 14:16:15] - Marty Turco was added to Avalanche.
4,8,[2012-10-11 14:16:15] - Marty Turco signed with Avalanche for 1.500.000 kr for 1 year(s) with 250.000 kr in bonus.
5,22,[2012-10-11 14:16:40] - Curtis McElhinney was added to Flyers.
6,22,[2012-10-11 14:16:40] - Curtis McElhinney signed with Flyers for 750.000 kr for 1 year(s) with 50.000 kr in bonus.
7,11,[2012-10-11 14:17:08] - José Théodore was added to Red Wings.
8,11,[2012-10-11 14:17:08] - José Théodore signed with Red Wings for 4.200.000 kr for 2 year(s) with 2.100.000 kr in bonus.
9,6,[2012-10-11 14:17:39] - Craig Andersson was added to Hurricanes.
10,6,[2012-10-11 14:17:39] - Craig Andersson signed with Hurricanes for 5.375.000 kr for 4 year(s) with 5.375.000 kr in bonus.
11,3,[2012-10-11 14:18:03] - Ilya Bryzgalov was added to Bruins.
12,3,[2012-10-11 14:18:03] - Ilya Bryzgalov signed with Bruins for 7.000.000 kr for 5 year(s) with 7.500.000 kr in bonus.
13,12,[2012-10-11 14:18:25] - Michael Leighton was added to Oilers.
14,12,[2012-10-11 14:18:25] - Michael Leighton signed with Oilers for 900.000 kr for 2 year(s) with 50.000 kr in bonus.
15,25,[2012-10-11 14:18:47] - Dany Sabourin was added to Blues.
16,25,[2012-10-11 14:18:47] - Dany Sabourin signed with Blues for 625.000 kr for 3 year(s) with 200.000 kr in bonus.
17,16,[2012-10-11 14:19:12] - Mike Brodeur was added to Canadiens.
18,16,[2012-10-11 14:19:12] - Mike Brodeur signed with Canadiens for 700.000 kr for 2 year(s) with 50.000 kr in bonus.
19,13,[2012-10-11 14:19:27] - Panthers paid 0 kr to release Peter Mueller.
20,13,[2012-10-11 14:19:27] - Peter Mueller was released.
21,14,[2012-10-11 14:19:50] - Peter Mueller was added to Kings.
22,7,[2012-10-11 14:21:15] - Brett MacLean has been deleted from Blackhawks.
23,7,[2012-10-11 14:38:42] - General Manager Change : Blackhawks fired general manager OTHL
24,7,[2012-10-11 14:38:42] - General Manager Change : Blackhawks hired general manager Phillip Grote
25,25,[2012-10-12 22:26:27] - Mike Cammalleri was added to Blues.
26,25,[2012-10-12 22:26:27] - Mike Cammalleri signed with Blues for 6.000.000 kr for 5 year(s) with 7.500.000 kr in bonus.
27,8,[2012-10-12 22:29:00] - Marek Zidlicky was added to Avalanche.
28,8,[2012-10-12 22:29:00] - Marek Zidlicky signed with Avalanche for 4.000.000 kr for 3 year(s) with 2.000.000 kr in bonus.
29,8,[2012-10-12 22:30:10] - Marc-Andre Bergeron was added to Avalanche.
30,8,[2012-10-12 22:30:10] - Marc-Andre Bergeron signed with Avalanche for 2.000.000 kr for 2 year(s) with 1.000.000 kr in bonus.
31,8,[2012-10-12 22:30:38] - Johan Hedberg was added to Avalanche.
32,8,[2012-10-12 22:30:38] - Johan Hedberg signed with Avalanche for 2.750.000 kr for 2 year(s) with 1.000.000 kr in bonus.
33,28,[2012-10-12 22:41:23] - Zach Hamill was added to Maple Leafs.
34,28,[2012-10-12 22:44:06] - Kyle Turris was added to Maple Leafs.
35,7,[2012-10-12 22:44:06] - Drew Stafford was added to Blackhawks.
36,7,[2012-10-12 22:44:07] - TRADE : From Blackhawks to Maple Leafs : Kyle Turris (61)- David Rundblad (P)- Tim Bozon (P).
37,28,[2012-10-12 22:44:07] - TRADE : From Blackhawks to Maple Leafs : Kyle Turris (61)- David Rundblad (P)- Tim Bozon (P).
38,28,[2012-10-12 22:44:07] - TRADE : From Maple Leafs to Blackhawks : Drew Stafford (70)- Y:2013-RND:2-TOR.
39,7,[2012-10-12 22:44:07] - TRADE : From Maple Leafs to Blackhawks : Drew Stafford (70)- Y:2013-RND:2-TOR.
40,22,[2012-10-13 03:47:53] - General Manager Change : Flyers fired general manager OTHL
41,22,[2012-10-13 03:47:53] - General Manager Change : Flyers hired general manager Jared Mitchell
42,19,[2012-10-13 15:39:42] - General Manager Change : Islanders fired general manager Mathias Vaigur
43,19,[2012-10-13 15:39:42] - General Manager Change : Islanders hired general manager OTHL
44,23,[2012-10-13 15:39:54] - General Manager Change : Coyotes fired general manager league
45,23,[2012-10-13 15:39:54] - General Manager Change : Coyotes hired general manager Mathias Vaigur
46,23,[2012-10-13 20:54:19] - Rhett Rakhshani was added to Coyotes.
47,23,[2012-10-13 21:32:54] - Matt Donovan was added to Coyotes.
48,23,[2012-10-13 21:34:30] - Mika Zibanejad was added to Coyotes.
49,23,[2012-10-13 23:08:13] - Sheldon Brookbank was added to Coyotes.
50,19,[2012-10-13 23:08:15] - TRADE : From Islanders to Coyotes : Sheldon Brookbank (63).
51,23,[2012-10-13 23:08:15] - TRADE : From Islanders to Coyotes : Sheldon Brookbank (63).
52,23,[2012-10-13 23:08:15] - TRADE : From Coyotes to Islanders : 75.000 kr.
53,19,[2012-10-13 23:08:15] - TRADE : From Coyotes to Islanders : 75.000 kr.
54,8,[2012-10-15 18:15:40] - Brian Rolston is no longer captain for Avalanche.
55,8,[2012-10-15 18:15:40] - Shane Doan has been selected as captain for Avalanche.
56,28,[2012-10-15 18:17:05] - Matthew Greene was added to Maple Leafs.
57,28,[2012-10-15 18:17:05] - Matthew Greene signed with Maple Leafs for 4.000.000 kr for 5 year(s) with 3.750.000 kr in bonus.
58,10,[2012-10-15 18:17:44] - Patrick Marleau was added to Stars.
