InternalNumber,UniqueID,Name,URLLink,Team,Country,AgeDate,Age,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,ExcludeFromSalaryCap,ProSalaryInFarm,StarPower,SalaryAverage,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,NHLID,DraftYear,DraftOverallPick,DraftOriginalTeam,Retire,Jersey,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProSecPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmSecPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,Empty6
1,439,Collin Delia,https://www.tsn.ca/nhl/player-bio/collin-delia,22,USA,1994-06-19,27,208,74,2,False,False,False,False,True,True,True,False,False,False,0,1000000,1000000,1000000,0,0,0,0,0,0,0,0,,0,100,0,8480420,0,0,0,False,0,1,1,1,1,1,1,1,1,1,1,45,54,68,80,41,44,50,52,45,46,30,46,46,47,50,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,465,Ian Scott,https://www.tsn.ca/nhl/player-bio/ian-scott-271656,1,AB,1999-01-10,23,181,76,2,True,False,False,False,True,True,True,False,False,False,0,900000,900000,900000,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,1,1,1,1,1,1,1,1,1,1,43,40,50,76,41,41,50,50,45,46,30,44,44,45,50,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,466,Francois Brassard,,27,QUE,1994-01-31,28,172,73,2,False,False,False,False,False,True,True,False,False,False,0,750000,750000,750000,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,1,1,1,1,1,1,1,1,1,1,51,55,55,55,55,55,55,55,55,55,55,55,55,55,50,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,417,David Rittich,http://www.tsn.ca/nhl/player-bio/david-rittich,21,CZE,1992-08-18,29,206,75,2,False,False,False,False,False,True,True,False,False,False,0,3000000,3000000,3000000,0,0,0,0,0,0,0,0,,0,100,0,8479496,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,69,74,72,81,72,67,64,66,72,70,43,59,60,64,50,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,418,Alex Nedeljkovic,http://www.tsn.ca/nhl/player-bio/alex-nedeljkovic,16,USA,1996-01-07,26,189,72,2,False,False,False,False,False,True,True,False,False,False,0,745000,750000,750000,0,0,0,0,0,0,0,0,,0,100,0,8477968,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,77,63,60,70,83,70,94,76,83,77,75,46,46,77,50,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,379,Semyon Varlamov,http://www.tsn.ca/nhl/player-bio/semyon-varlamov,12,RUS,1988-04-26,34,215,74,2,False,False,False,False,False,True,True,False,False,False,0,6000000,6000000,6000000,0,0,0,0,0,0,0,0,,0,100,0,8473575,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,89,79,78,81,95,83,91,89,94,89,91,72,75,88,50,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,7,Jonathan Bernier,http://www.tsn.ca/nhl/player-bio/jonathan-bernier,15,QUE,1988-08-07,33,185,72,2,False,False,False,False,False,True,True,False,False,False,0,4500000,4500000,4500000,0,0,0,0,0,0,0,0,,2,100,0,8473541,0,0,0,False,0,2,2,2,2,2,2,2,2,2,2,76,70,70,68,80,71,65,74,84,76,65,68,68,74,50,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,583,Hugo Alnefelt,,6,SWE,1997-02-19,25,183,75,3,True,False,False,False,False,True,True,False,False,False,0,925000,925000,925000,925000,0,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,3,1,1,1,1,1,1,1,1,1,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,9,Matej Tomek,,0,,0001-01-01,2021,0,0,0,False,False,False,False,False,True,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,380,Cam Talbot,http://www.tsn.ca/nhl/player-bio/cam-talbot,10,ONT,1987-07-04,34,193,76,2,False,False,False,False,False,True,True,False,False,False,0,6250000,6250000,6250000,0,0,0,0,0,0,0,0,,17,100,0,8475660,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,77,67,67,81,79,74,75,76,85,77,70,67,68,76,50,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
