Number,Transaction,DateTime,Empty
20001,Bruins lines for next game are empty. Current rosters/lines are not erased.,2021-12-02 7:08:08 PM,
20002, Americans lines for next game are empty. Current rosters/lines are not erased. But- Sabres lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-02 7:08:08 PM,
20003,Tage Thompson of Sabres was sent to farm.,2021-12-02 7:08:08 PM,
20004,Heat lines for next game are empty. Current rosters/lines are not erased. But- Flames lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-02 7:08:08 PM,
20005,Both Hurricanes and Checkers lines for next game are empty. Current rosters/lines are not erased.,2021-12-02 7:08:08 PM,
20006,Eagles lines for next game are empty. Current rosters/lines are not erased. But- Avalanche lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-02 7:08:08 PM,
20007,Reign lines for next game are empty. Current rosters/lines are not erased. But- Kings lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-02 7:08:08 PM,
20008,Wild lines for next game are empty. Current rosters/lines are not erased. But- Wild lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-02 7:08:08 PM,
20009,Comets lines for next game are empty. Current rosters/lines are not erased. But- Devils lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-02 7:08:09 PM,
20010,Sound Tigers lines for next game are empty. Current rosters/lines are not erased. But- Islanders lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-02 7:08:09 PM,
20011,Jacob Bryson of Islanders was sent to farm.,2021-12-02 7:08:09 PM,
20012,Senators lines for next game are empty. Current rosters/lines are not erased. But- Senators lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-02 7:08:09 PM,
20013,Flyers lines for next game are empty. Current rosters/lines are not erased.,2021-12-02 7:08:09 PM,
20014,Roadrunners lines for next game are empty. Current rosters/lines are not erased. But- Coyotes lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-02 7:08:09 PM,
20015,Rampage  lines for next game are empty. Current rosters/lines are not erased. But- Blues lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-02 7:08:09 PM,
20016,Crunch lines for next game are empty. Current rosters/lines are not erased. But- Lightning lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-02 7:08:09 PM,
20017,Canucks lines for next game are empty. Current rosters/lines are not erased. But- Canucks lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-02 7:08:09 PM,
20018,Bears lines for next game are empty. Current rosters/lines are not erased. But- Capitals lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-02 7:08:09 PM,
20019,Mariners lines for next game are empty. Current rosters/lines are not erased. But- Kraken lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-02 7:08:09 PM,
20020,Avalanche are expected to be under the minimum salary cap by $1-026-528!,2021-12-02 7:08:17 PM,
20021,Wild are expected to be under the minimum salary cap by $7-943-507!,2021-12-02 7:08:17 PM,
20022,Senators are expected to be under the minimum salary cap by $6-837-432!,2021-12-02 7:08:18 PM,
20023,Capitals are expected to be under the minimum salary cap by $3-871-558!,2021-12-02 7:08:18 PM,
20024,Avalanche are expected to be under the minimum salary cap by $1-026-528!,2021-12-02 7:08:59 PM,
20025,Wild are expected to be under the minimum salary cap by $7-943-507!,2021-12-02 7:09:00 PM,
20026,Senators are expected to be under the minimum salary cap by $6-837-432!,2021-12-02 7:09:00 PM,
20027,Capitals are expected to be under the minimum salary cap by $3-871-558!,2021-12-02 7:09:01 PM,
20028,Red Wings placed Zac Dalpe on waivers.,2021-12-03 3:58:59 PM,
20029,Zac Dalpe of Red Wings was sent down to farm.,2021-12-03 3:59:00 PM,
20030,Markus Nutivaara of Red Wings was sent to pro.,2021-12-03 3:59:00 PM,
20031,Kraken placed Christian Jaros on waivers.,2021-12-03 3:59:00 PM,
20032,Christian Jaros of Kraken was sent down to farm.,2021-12-03 3:59:01 PM,
20033,Successfully loaded Red Wings lines done with Web Base Client and SQLite Database.,2021-12-03 3:59:01 PM,
20034,Successfully loaded Senators lines done with Web Base Client and SQLite Database.,2021-12-03 3:59:01 PM,
20035,Successfully loaded Coyotes lines done with Web Base Client and SQLite Database.,2021-12-03 3:59:01 PM,
20036,Successfully loaded Maple Leafs lines done with Web Base Client and SQLite Database.,2021-12-03 3:59:01 PM,
20037,Successfully loaded Kraken lines done with Web Base Client and SQLite Database.,2021-12-03 3:59:01 PM,
20038,Successfully loaded Stars lines done with STHS Client - 3.3.0.0,2021-12-03 3:59:03 PM,
20039,Predators roster errors : Not enough Forward available in Pro Team! 11 Dressed. 12 Required.
Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.
,2021-12-03 3:59:04 PM,
20040,Auto Roster Partial Function has been run for Predators.,2021-12-03 3:59:04 PM,
20041,Predators lines errors : Normal line # 3 LW is empty.
Extra Forward #3 is empty.
Extra Forward #5 is empty.
Penalty Shot Player #5 is empty.
OT Forward #8 is empty.
,2021-12-03 3:59:04 PM,
20042,Auto Lines Partial Function has been run for Predators.,2021-12-03 3:59:04 PM,
20043,Islanders roster errors : Not enough Forward available in Pro Team! 11 Dressed. 12 Required.
Not enough Defenseman available in Pro Team! 5 Dressed. 6 Required.
Not enough Players available in Pro Team! 16 Dressed. 18 Required.
Some errors will be automatically fixed.
,2021-12-03 3:59:04 PM,
20044,Jacob Bryson of Islanders was sent to pro.,2021-12-03 3:59:04 PM,
20045,Auto Roster Partial Function has been run for Islanders.,2021-12-03 3:59:04 PM,
20046,Auto Lines Partial Function has been run for Islanders.,2021-12-03 3:59:04 PM,
20047,Sharks roster errors : Not enough Goalie available in Pro Team! 1 Dressed. 2 Required.
Some errors will be automatically fixed.
,2021-12-03 3:59:04 PM,
20048,Stuart Skinner of Sharks was sent to pro.,2021-12-03 3:59:04 PM,
