Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout,Link,Empty
1,1,False,3,0,16,0,False,False,OTHL-PLF-1.html,
2,1,False,4,0,28,0,False,False,OTHL-PLF-2.html,
3,1,False,13,0,19,0,False,False,OTHL-PLF-3.html,
4,1,False,18,0,9,0,False,False,OTHL-PLF-4.html,
5,2,False,29,0,7,0,False,False,OTHL-PLF-5.html,
6,2,False,10,0,17,0,False,False,OTHL-PLF-6.html,
7,2,False,32,0,12,0,False,False,OTHL-PLF-7.html,
8,2,False,14,0,5,0,False,False,OTHL-PLF-8.html,
9,3,False,3,0,16,0,False,False,OTHL-PLF-9.html,
10,3,False,4,0,28,0,False,False,OTHL-PLF-10.html,
11,3,False,13,0,19,0,False,False,OTHL-PLF-11.html,
12,3,False,18,0,9,0,False,False,OTHL-PLF-12.html,
13,4,False,29,0,7,0,False,False,OTHL-PLF-13.html,
14,4,False,10,0,17,0,False,False,OTHL-PLF-14.html,
15,4,False,32,0,12,0,False,False,OTHL-PLF-15.html,
16,4,False,14,0,5,0,False,False,OTHL-PLF-16.html,
17,5,False,16,0,3,0,False,False,OTHL-PLF-17.html,
18,5,False,28,0,4,0,False,False,OTHL-PLF-18.html,
19,5,False,19,0,13,0,False,False,OTHL-PLF-19.html,
20,5,False,9,0,18,0,False,False,OTHL-PLF-20.html,
21,6,False,7,0,29,0,False,False,OTHL-PLF-21.html,
22,6,False,17,0,10,0,False,False,OTHL-PLF-22.html,
23,6,False,12,0,32,0,False,False,OTHL-PLF-23.html,
24,6,False,5,0,14,0,False,False,OTHL-PLF-24.html,
25,7,False,16,0,3,0,False,False,OTHL-PLF-25.html,
26,7,False,28,0,4,0,False,False,OTHL-PLF-26.html,
27,7,False,19,0,13,0,False,False,OTHL-PLF-27.html,
28,7,False,9,0,18,0,False,False,OTHL-PLF-28.html,
29,8,False,7,0,29,0,False,False,OTHL-PLF-29.html,
30,8,False,17,0,10,0,False,False,OTHL-PLF-30.html,
31,8,False,12,0,32,0,False,False,OTHL-PLF-31.html,
32,8,False,5,0,14,0,False,False,OTHL-PLF-32.html,
33,9,False,3,0,16,0,False,False,OTHL-PLF-33.html,
34,9,False,4,0,28,0,False,False,OTHL-PLF-34.html,
35,9,False,13,0,19,0,False,False,OTHL-PLF-35.html,
36,9,False,18,0,9,0,False,False,OTHL-PLF-36.html,
37,10,False,29,0,7,0,False,False,OTHL-PLF-37.html,
38,10,False,10,0,17,0,False,False,OTHL-PLF-38.html,
39,10,False,32,0,12,0,False,False,OTHL-PLF-39.html,
40,10,False,14,0,5,0,False,False,OTHL-PLF-40.html,
41,11,False,16,0,3,0,False,False,OTHL-PLF-41.html,
42,11,False,28,0,4,0,False,False,OTHL-PLF-42.html,
43,11,False,19,0,13,0,False,False,OTHL-PLF-43.html,
44,11,False,9,0,18,0,False,False,OTHL-PLF-44.html,
45,12,False,7,0,29,0,False,False,OTHL-PLF-45.html,
46,12,False,17,0,10,0,False,False,OTHL-PLF-46.html,
47,12,False,12,0,32,0,False,False,OTHL-PLF-47.html,
48,12,False,5,0,14,0,False,False,OTHL-PLF-48.html,
49,13,False,3,0,16,0,False,False,OTHL-PLF-49.html,
50,13,False,4,0,28,0,False,False,OTHL-PLF-50.html,
51,13,False,13,0,19,0,False,False,OTHL-PLF-51.html,
52,13,False,18,0,9,0,False,False,OTHL-PLF-52.html,
53,14,False,29,0,7,0,False,False,OTHL-PLF-53.html,
54,14,False,10,0,17,0,False,False,OTHL-PLF-54.html,
55,14,False,32,0,12,0,False,False,OTHL-PLF-55.html,
56,14,False,14,0,5,0,False,False,OTHL-PLF-56.html,
