Number,Team Number,Prospect Name,Year,Overall Pick,Information,URLLink,OriginalTeam
1,5,Owen Power,2021,1,,,0,
2,4,Joshua Bloom,2021,122,,,0,
4,24,Matty Beniers,2021,2,,,0,
5,29,Mattias Norlinder,2019,77,,,0,
6,32,Luke Hughes,2021,3,,,0,
7,12,Alex Turcotte,2019,4,,,0,
8,25,Lucas Raymond,2020,4,,,0,
9,22,Marco Rossi,2020,5,,,0,
10,10,Cole Perfetti,2020,6,,,0,
12,28,William Trudeau,2021,123,,,0,
13,8,Iaroslav Askarov,2020,8,,,0,
14,16,Jake Sanderson,2020,9,,,0,
15,18,Alexander Holtz,2020,10,,,0,
16,25,Seth Jarvis,2020,11,,,0,
17,25,Vasili Podkolzin,2019,6,,,0,
18,9,Kent Johnson,2021,4,,,0,
19,15,Jack Quinn,2020,12,,,0,
22,31,Anton Lundell,2020,13,,,0,
23,14,Rodion Amirov,2020,14,,,0,
24,31,Dawson Mercer,2020,15,,,0,
25,17,Spencer Knight,2019,8,,,0,
26,28,Oscar Plandowski,2021,124,,,0,
27,15,Mason McTavish,2021,6,,,0,
29,15,Jesper Wallstedt,2021,7,,,0,
30,31,Adam Beckman,2019,78,,,0,
31,2,Roby Jarventie,2020,16,,,0,
32,8,Dylan Holloway,2020,17,,,0,
33,15,Philip Broberg,2019,11,,,0,
34,25,Peyton Krebs,2019,12,,,0,
35,9,Lukas Reichel,2020,18,,,0,
36,25,Hendrix Lapierre,2020,19,,,0,
37,31,Connor Zary,2020,20,,,0,
38,16,Moritz Seider,2019,13,,,0,
39,27,Alex Newhook,2019,14,,,0,
40,8,Dylan Guenther,2021,8,,,0,
42,23,Mavrik Bourque,2020,22,,,0,
43,23,Jacob Perreault,2020,23,,,0,
44,24,Kaiden Guhle,2020,24,,,0,
45,24,Joe Veleno,2018,15,,,0,
46,25,Adam Ruzicka,2017,93,,,0,
47,1,Josh Wesley,2014,103,,,0,
48,29,Riley Tufte,2016,26,,,0,
49,9,Simon Edvinsson,2021,9,,,0,
50,30,Helge Grans,2020,25,,,0,
51,26,Tyson Foerster,2020,26,,,0,
52,9,Braden Schneider,2020,27,,,0,
53,13,Brendan Brisson,2020,28,,,0,
54,15,John-Jason Peterka,2020,29,,,0,
55,9,Marat Khusnutdinov,2020,30,,,0,
56,17,Ozzy Wiesblatt,2020,31,,,0,
57,24,Ridly Greig,2020,32,,,0,
58,14,William Wallinder,2020,33,,,0,
60,31,Brandt Clarke,2021,10,,,0,
61,24,Croix Evingson,2017,215,,,0,
62,25,Justin Barron,2020,34,,,0,
63,17,Tyson Hinds,2021,125,,,0,
65,21,Lassi Thomson,2019,17,,,0,
66,4,Victor Soderstrom,2019,18,,,0,
67,23,Cam York,2019,19,,,0,
68,21,Pascal Laberge,2016,30,,,0,
69,1,Noel Gunler,2020,35,,,0,
70,10,Shakir Mukhamadullin,2020,36,,,0,
71,12,Sebastian Cossa,2021,11,,,0,
72,19,Cole Sillinger,2021,12,,,0,
73,21,Serron Noel,2018,18,,,0,
74,3,Reilly Walsh,2017,94,,,0,
75,13,Thomas Harley,2019,21,,,0,
76,28,Matvey Petrov,2021,126,,,0,
77,9,Jake Neighbours,2020,37,,,0,
78,31,Ryan O'Rourke,2020,38,,,0,
79,6,Chaz Lucius,2021,13,,,0,
80,8,Thomas Bordeleau,2020,39,,,0,
81,31,Matthew Coronato,2021,14,,,0,
82,31,Isak Rosen,2021,15,,,0,
