Number,Team,Transaction,DateTime,Empty
1,9,[2012-10-11 14:15:57] - Douglas Murray was added to Blue Jackets.,12:00:00 AM,
2,9,[2012-10-11 14:15:57] - Douglas Murray signed with Blue Jackets for 4.000.000 kr for 3 year(s) with 2.000.000 kr in bonus.,12:00:00 AM,
3,8,[2012-10-11 14:16:15] - Marty Turco was added to Avalanche.,12:00:00 AM,
4,8,[2012-10-11 14:16:15] - Marty Turco signed with Avalanche for 1.500.000 kr for 1 year(s) with 250.000 kr in bonus.,12:00:00 AM,
5,22,[2012-10-11 14:16:40] - Curtis McElhinney was added to Flyers.,12:00:00 AM,
6,22,[2012-10-11 14:16:40] - Curtis McElhinney signed with Flyers for 750.000 kr for 1 year(s) with 50.000 kr in bonus.,12:00:00 AM,
7,11,[2012-10-11 14:17:08] - José Théodore was added to Red Wings.,12:00:00 AM,
8,11,[2012-10-11 14:17:08] - José Théodore signed with Red Wings for 4.200.000 kr for 2 year(s) with 2.100.000 kr in bonus.,12:00:00 AM,
9,6,[2012-10-11 14:17:39] - Craig Andersson was added to Hurricanes.,12:00:00 AM,
10,6,[2012-10-11 14:17:39] - Craig Andersson signed with Hurricanes for 5.375.000 kr for 4 year(s) with 5.375.000 kr in bonus.,12:00:00 AM,
11,3,[2012-10-11 14:18:03] - Ilya Bryzgalov was added to Bruins.,12:00:00 AM,
12,3,[2012-10-11 14:18:03] - Ilya Bryzgalov signed with Bruins for 7.000.000 kr for 5 year(s) with 7.500.000 kr in bonus.,12:00:00 AM,
13,12,[2012-10-11 14:18:25] - Michael Leighton was added to Oilers.,12:00:00 AM,
14,12,[2012-10-11 14:18:25] - Michael Leighton signed with Oilers for 900.000 kr for 2 year(s) with 50.000 kr in bonus.,12:00:00 AM,
15,25,[2012-10-11 14:18:47] - Dany Sabourin was added to Blues.,12:00:00 AM,
16,25,[2012-10-11 14:18:47] - Dany Sabourin signed with Blues for 625.000 kr for 3 year(s) with 200.000 kr in bonus.,12:00:00 AM,
17,16,[2012-10-11 14:19:12] - Mike Brodeur was added to Canadiens.,12:00:00 AM,
18,16,[2012-10-11 14:19:12] - Mike Brodeur signed with Canadiens for 700.000 kr for 2 year(s) with 50.000 kr in bonus.,12:00:00 AM,
19,13,[2012-10-11 14:19:27] - Panthers paid 0 kr to release Peter Mueller.,12:00:00 AM,
20,13,[2012-10-11 14:19:27] - Peter Mueller was released.,12:00:00 AM,
21,14,[2012-10-11 14:19:50] - Peter Mueller was added to Kings.,12:00:00 AM,
22,7,[2012-10-11 14:21:15] - Brett MacLean has been deleted from Blackhawks.,12:00:00 AM,
23,7,[2012-10-11 14:38:42] - General Manager Change : Blackhawks fired general manager OTHL,12:00:00 AM,
24,7,[2012-10-11 14:38:42] - General Manager Change : Blackhawks hired general manager Phillip Grote,12:00:00 AM,
25,25,[2012-10-12 22:26:27] - Mike Cammalleri was added to Blues.,12:00:00 AM,
26,25,[2012-10-12 22:26:27] - Mike Cammalleri signed with Blues for 6.000.000 kr for 5 year(s) with 7.500.000 kr in bonus.,12:00:00 AM,
27,8,[2012-10-12 22:29:00] - Marek Zidlicky was added to Avalanche.,12:00:00 AM,
28,8,[2012-10-12 22:29:00] - Marek Zidlicky signed with Avalanche for 4.000.000 kr for 3 year(s) with 2.000.000 kr in bonus.,12:00:00 AM,
29,8,[2012-10-12 22:30:10] - Marc-Andre Bergeron was added to Avalanche.,12:00:00 AM,
30,8,[2012-10-12 22:30:10] - Marc-Andre Bergeron signed with Avalanche for 2.000.000 kr for 2 year(s) with 1.000.000 kr in bonus.,12:00:00 AM,
31,8,[2012-10-12 22:30:38] - Johan Hedberg was added to Avalanche.,12:00:00 AM,
32,8,[2012-10-12 22:30:38] - Johan Hedberg signed with Avalanche for 2.750.000 kr for 2 year(s) with 1.000.000 kr in bonus.,12:00:00 AM,
33,28,[2012-10-12 22:41:23] - Zach Hamill was added to Maple Leafs.,12:00:00 AM,
34,28,[2012-10-12 22:44:06] - Kyle Turris was added to Maple Leafs.,12:00:00 AM,
35,7,[2012-10-12 22:44:06] - Drew Stafford was added to Blackhawks.,12:00:00 AM,
36,7,[2012-10-12 22:44:07] - TRADE : From Blackhawks to Maple Leafs : Kyle Turris (61)- David Rundblad (P)- Tim Bozon (P).,12:00:00 AM,
37,28,[2012-10-12 22:44:07] - TRADE : From Blackhawks to Maple Leafs : Kyle Turris (61)- David Rundblad (P)- Tim Bozon (P).,12:00:00 AM,
38,28,[2012-10-12 22:44:07] - TRADE : From Maple Leafs to Blackhawks : Drew Stafford (70)- Y:2013-RND:2-TOR.,12:00:00 AM,
