Number,Team,Transaction
1,29,[2010-11-06 01:50] - New Record for Team Most Penalties (54) in 1 Game for Canucks!                                             
2,30,[2010-11-06 01:54] - From Capitals to Kings : Y:2011-RND:6-WSH.                                                                 
3,14,[2010-11-06 01:54] - From Capitals to Kings : Y:2011-RND:6-WSH.                                                                 
4,14,[2010-11-06 01:54] - From Kings to Capitals : Tyler Sloan (64).                                                                 
5,30,[2010-11-06 01:54] - From Kings to Capitals : Tyler Sloan (64).                                                                 
6,17,[2010-11-06 01:54] - From Predators to Lightning : Ville Leino (64).                                                            
7,27,[2010-11-06 01:54] - From Predators to Lightning : Ville Leino (64).                                                            
8,27,[2010-11-06 01:54] - From Lightning to Predators : Michal Repik (60)- Kyle Greentree (61).                                      
9,17,[2010-11-06 01:54] - From Lightning to Predators : Michal Repik (60)- Kyle Greentree (61).                                      
10,27,[2010-11-06 01:55] - From Lightning to Predators : Ville Leino (64).                                                            
11,17,[2010-11-06 01:55] - From Lightning to Predators : Ville Leino (64).                                                            
12,17,[2010-11-06 01:55] - From Predators to Lightning : Kyle Greentree (61)- Michal Repik (60).                                      
13,27,[2010-11-06 01:55] - From Predators to Lightning : Kyle Greentree (61)- Michal Repik (60).                                      
14,30,[2010-11-06 02:07] - From Capitals to Kings : Tyler Sloan (64).                                                                 
15,14,[2010-11-06 02:07] - From Capitals to Kings : Tyler Sloan (64).                                                                 
16,14,[2010-11-06 02:07] - From Kings to Capitals : Y:2011-RND:6-WSH.                                                                 
17,30,[2010-11-06 02:07] - From Kings to Capitals : Y:2011-RND:6-WSH.                                                                 
18,18,[2010-11-07 01:18] - Devils show interest in Stéphane Veilleux from waiver.                                                     
19,18,[2010-11-07 01:21] - Devils claimed Stéphane Veilleux from waiver from Canadiens for 100.000-00 kr.                             
20,14,[2010-11-07 01:23] - From Kings to Sharks : Bruno Gervais (67).                                                                 
21,26,[2010-11-07 01:23] - From Kings to Sharks : Bruno Gervais (67).                                                                 
22,26,[2010-11-07 01:23] - From Sharks to Kings : Matt Gilroy (67)- Y:2011-RND:6-BUF.                                                 
23,14,[2010-11-07 01:23] - From Sharks to Kings : Matt Gilroy (67)- Y:2011-RND:6-BUF.                                                 
24,22,[2010-11-09 01:33] - Patrik Elias has been selected as captain.                                                                 
25,22,[2010-11-09 01:33] - Ed Jovanovski has been selected as assistant.                                                              
26,22,[2010-11-09 01:33] - Dennis Seidenberg has been selected as assistant.                                                          
27,26,[2010-11-09 01:40] - Nick Bonino was added to Sharks.                                                                           
28,3,[2010-11-09 01:44] - From Bruins to Capitals : Andrew Brunette (72)- Brian Boucher (70)- Chris Drury (74).                      
29,30,[2010-11-09 01:44] - From Bruins to Capitals : Andrew Brunette (72)- Brian Boucher (70)- Chris Drury (74).                      
30,30,ius (72)- Mike Commodore (73)- Yann Sauve (P)- Y:2011-RND:3-WSH.                                                                
31,30,[2010-11-09 01:44] - From Capitals to Bruins : Bryan Rodney (63)- Dwayne Roloson (73)- Fredrik Modin (68)- Kristian Husel       
32,3,ius (72)- Mike Commodore (73)- Yann Sauve (P)- Y:2011-RND:3-WSH.                                                                
33,3,[2010-11-09 01:44] - From Capitals to Bruins : Bryan Rodney (63)- Dwayne Roloson (73)- Fredrik Modin (68)- Kristian Husel       
