Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,28,2,13,6,False,False
2,1,True,2,2,10,3,False,False
3,1,True,19,2,27,4,False,False
4,1,True,11,1,21,0,False,False
5,1,True,23,5,1,2,False,False
6,1,True,6,3,3,4,True,True
7,1,True,24,4,22,5,False,False
8,1,True,4,2,16,0,False,False
9,1,True,12,2,26,4,False,False
10,1,True,29,5,25,3,False,False
11,1,True,5,3,14,2,False,False
12,1,True,9,2,30,5,False,False
13,1,True,20,3,18,2,False,False
14,2,True,1,1,8,3,False,False
15,2,True,26,4,17,5,False,False
16,2,True,14,3,7,6,False,False
17,2,True,31,2,15,0,False,False
18,2,True,24,4,28,3,False,False
19,2,True,4,4,6,0,False,False
20,2,True,12,4,5,3,False,False
21,2,True,10,5,2,4,True,True
22,2,True,9,3,20,4,True,False
23,2,True,25,0,23,2,False,False
24,2,True,22,1,11,5,False,False
25,3,True,17,6,29,2,False,False
26,3,True,30,3,19,1,False,False
27,3,True,23,1,31,2,False,False
28,3,True,15,1,12,5,False,False
29,3,True,16,2,4,4,False,False
30,3,True,18,2,9,3,False,False
31,3,True,27,3,24,2,True,True
32,3,True,21,4,13,2,False,False
33,3,True,11,3,3,2,False,False
34,3,True,8,1,7,2,False,False
35,4,True,22,3,21,2,True,True
36,4,True,20,3,19,5,False,False
37,4,True,1,2,29,4,False,False
38,4,True,8,3,5,5,False,False
39,4,True,2,3,26,2,False,False
40,4,True,3,1,27,4,False,False
41,4,True,30,3,16,2,False,False
42,4,True,10,4,14,1,False,False
43,4,True,18,1,28,3,False,False
44,4,True,13,2,6,5,False,False
45,4,True,7,3,25,2,False,False
46,4,True,17,5,15,2,False,False
47,4,True,23,3,31,2,True,True
48,5,True,22,4,9,1,False,False
49,5,True,16,3,24,1,False,False
50,5,True,18,3,11,4,False,False
51,5,True,28,3,20,5,False,False
52,5,True,10,0,1,2,False,False
53,5,True,19,3,4,5,False,False
