GameNumber,Link,VisitorTeam,VisitorTeamAbbre,VisitorTeamScore,VisitorTeamGoal,VisitorTeamGoaler,HomeTeam,HomeTeamAbbre,HomeTeamScore,HomeTeamGoal,HomeTeamGoaler
Pro159,OTHL-PRE-159.html,Lightning,TBL,3,Esa Lindell(1): Alex Chiasson(4): Nic Dowd(2),Brian Elliott (TBL): 23 saves from 24 shots - (0.958): 48:22 minutes Connor Hellebuyck (TBL): 7 saves from 11 shots - (0.636): L: 9-2-0: 11:38 minutes ,Bruins,BOS,5,Paul Stastny(3): Ben Hutton(2): Brad Marchand(4:5): Sean Couturier(4),Pavel Francouz (BOS): 31 saves from 34 shots - (0.912): W: 4-2-2: 60:00 minutes 
Pro160,OTHL-PRE-160.html,Flames,CGY,3,Andre Burakovsky(4): Erik Karlsson(1): Phillip Danault(3),Ben Bishop (CGY): 31 saves from 33 shots - (0.939): W: 7-2-1: 60:00 minutes ,Canucks,VAN,2,Nico Hischier(2): Scott Mayfield(1),Henrik Lundqvist (VAN): 30 saves from 33 shots - (0.909): L: 3-2-0: 58:40 minutes 
Pro161,OTHL-PRE-161.html,Hurricanes,CAR,1,Evander Kane(4),Mike Smith (CAR): 20 saves from 23 shots - (0.870): L: 2-7-2: 60:00 minutes ,Panthers,FLA,3,Tyler Bozak(5): Josh Bailey(4): Justin Schultz(1),Anton Khudobin (FLA): 29 saves from 30 shots - (0.967): W: 8-1-0: 60:00 minutes 
Pro162,OTHL-PRE-162.html,Rangers,NYR,5,Claude Giroux(6): Roman Josi(2:3): Mark Stone(5),Marc-Andre Fleury (NYR): 24 saves from 28 shots - (0.857): W: 8-4-0: 65:00 minutes ,Canadiens,MTL,4,Clayton Keller(1): Alex DeBrincat(2): Travis Zajac(7): Marc-Edouard Vlasic(1),Carter Hart (MTL): 33 saves from 37 shots - (0.892): OTL: 4-4-2: 65:00 minutes 
Pro163,OTHL-PRE-163.html,Wild,MIN,1,Mikhail Sergachev(1),Jonathan Bernier (MIN): 11 saves from 15 shots - (0.733): L: 1-9-1: 21:20 minutes Anders Nilsson (MIN): 28 saves from 30 shots - (0.933): 38:40 minutes ,Coyotes,ARI,6,Kevin Fiala(5): Mika Zibanejad(6:7:8): Nikita Kucherov(4): William Nylander(5),Tuukka Rask (ARI): 23 saves from 24 shots - (0.958): W: 9-1-1: 60:00 minutes 
Pro164,OTHL-PRE-164.html,Maple Leafs,TOR,3,Christian Dvorak(2): Jaden Schwartz(4): Patrik Nemeth(1),Frederik Andersen (TOR): 30 saves from 33 shots - (0.909): OTL: 2-4-2: 65:00 minutes ,Sabres,BUF,4,Michael Del Zotto(1): Chris Kreider(5): Anders Lee(3),Thomas Greiss (BUF): 20 saves from 23 shots - (0.870): W: 9-2-0: 65:00 minutes 
Pro165,OTHL-PRE-165.html,Penguins,PIT,3,Ilya Mikheyev(3): Austin Czarnik(2): Robert Bortuzzo(3),Semyon Varlamov (PIT): 34 saves from 38 shots - (0.895): OTL: 4-5-2: 64:37 minutes ,Senators,OTT,4,Ryan McDonagh(2): Bryan Rust(4): David Pastrnak(8): Nick Leddy(3),Andrei Vasilevskiy (OTT): 27 saves from 30 shots - (0.900): W: 5-4-2: 64:37 minutes 
Pro166,OTHL-PRE-166.html,Blackhawks,CHI,2,Evgeni Malkin(3): Jason Zucker(3),Corey Crawford (CHI): 39 saves from 42 shots - (0.929): OTL: 9-1-1: 64:26 minutes ,Ducks,ANH,3,Zach Hyman(3): Dillon Dube(3): Johnny Gaudreau(4),Tristan Jarry (ANH): 43 saves from 45 shots - (0.956): W: 3-4-0: 64:26 minutes 
Pro167,OTHL-PRE-167.html,Capitals,WSH,3,Jack Eichel(6): Rickard Rakell(4),Petr Mrazek (WSH): 28 saves from 30 shots - (0.933): W: 4-0-0: 65:00 minutes ,Red Wings,DET,2,Patrik Laine(3): Mathew Dumba(3),Sergei Bobrovsky (DET): 27 saves from 29 shots - (0.931): OTL: 9-0-2: 65:00 minutes 
Pro168,OTHL-PRE-168.html,Avalanche,COL,3,Patrick Kane(7): J.T. Miller(6:7),Jake Allen (COL): 33 saves from 37 shots - (0.892): L: 4-6-1: 59:41 minutes ,Stars,DAL,5,Patrice Bergeron(2): Frans Nielsen(1): Jeff Carter(5): Radko Gudas(2): Nikita Zadorov(1),Cam Talbot (DAL): 27 saves from 30 shots - (0.900): W: 5-5-1: 60:00 minutes 
