Number,Transaction
20001,[2019-12-19 9:48:55 PM] - Auto Lines Partial Function has been run for Rangers.
20002,[2019-12-19 9:49:03 PM] - Maximum Pro Players Limit Reached for Stars!
20003,[2019-12-19 9:49:04 PM] - Stars roster errors : Maximum Players Limit Reached in Pro Team!
Some errors will be automatically fixed.

20004,[2019-12-19 9:49:12 PM] - Stars placed Phil Varone on waivers.
20005,[2019-12-19 9:49:12 PM] - Phil Varone of Stars was sent down to farm.
20006,[2019-12-19 9:49:22 PM] - Stars lines errors : Normal line # 2 Defense #2 is empty.
Normal line # 3 Defense #3 is empty.
Normal line # 4 RW is empty.
Normal line # 4 Defense #4 is empty.
Unknown Player is used twice in Normal line #4
Unknown Player is used twice in normal lines 2 and 3.
PP line 1 Defense #1 is empty.
PK line 2 Defense #2 is empty.
PK3 line 2 Defense #2 is empty.
LastMinOff line Defense #3 is empty.
Extra Defense #1 is empty.
Starting Goalie is empty.

20007,[2019-12-19 9:49:22 PM] - Auto Lines Partial Function has been run for Stars.
20008,[2019-12-19 9:49:27 PM] - Game 349 - Darren Helm from Panthers is injured  (Lacerated Left Calf) and is out for 2 weeks.
20009,[2019-12-19 9:49:28 PM] - Game 355 - Roman Polak from Flames is injured  (Upper Body) and is out for 1 week.
20010,[2019-12-19 9:49:28 PM] - Anthony Duclair from Heat has scored a Hat Trick!
20011,[2019-12-19 9:49:28 PM] - Game 356 - Alexander Radulov from Islanders is injured  (Torn Left Knee Ligaments) and is out for 2 weeks.
20012,[2019-12-19 9:49:28 PM] - Game 356 - Jakub Voracek from Islanders is injured  (Torso) and is out for 1 week.
20013,[2019-12-19 9:49:28 PM] - Victor Rask from Barracudas has scored a Hat Trick!
20014,[2019-12-19 9:49:28 PM] - Zack MacEwen from Barracudas has scored a Hat Trick!
20015,[2019-12-19 9:49:28 PM] - Game 357 - Anthony Beauvillier from Blues is injured  (Torso) and is out for 1 week.
20016,[2019-12-19 9:49:28 PM] - Game 358 - Marc Methot from Lightning is injured  (Sprained Left Finger) and is out for 3 months.
20017,[2019-12-19 9:49:29 PM] - Game 359 - Jean-Gabriel Pageau from Oilers is injured  (Abdomen/Ribs) and is out for 3 weeks.
20018,[2019-12-19 9:49:29 PM] - Gulls lines for next game are empty. Current rosters/lines are not erased. But- Ducks lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20019,[2019-12-19 9:49:29 PM] - Bruins lines for next game are empty. Current rosters/lines are not erased. But- Bruins lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20020,[2019-12-19 9:49:29 PM] - Checkers lines for next game are empty. Current rosters/lines are not erased. But- Hurricanes lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20021,[2019-12-19 9:49:29 PM] - IceHogs lines for next game are empty. Current rosters/lines are not erased. But- Blackhawks lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20022,[2019-12-19 9:49:29 PM] - Eagles lines for next game are empty. Current rosters/lines are not erased. But- Avalanche lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20023,[2019-12-19 9:49:29 PM] - Will Butcher of Avalanche was sent to farm.
20024,[2019-12-19 9:49:29 PM] - Monsters lines for next game are empty. Current rosters/lines are not erased. But- Blue Jackets lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20025,[2019-12-19 9:49:29 PM] - Both Stars and Stars lines for next game are empty. Current rosters/lines are not erased.
20026,[2019-12-19 9:49:29 PM] - Both Oilers and Condors lines for next game are empty. Current rosters/lines are not erased.
20027,[2019-12-19 9:49:29 PM] - Reign lines for next game are empty. Current rosters/lines are not erased. But- Kings lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20028,[2019-12-19 9:49:29 PM] - Wild lines for next game are empty. Current rosters/lines are not erased. But- Wild lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20029,[2019-12-19 9:49:29 PM] - Rocket lines for next game are empty. Current rosters/lines are not erased. But- Canadiens lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20030,[2019-12-19 9:49:29 PM] - Devils lines for next game are empty. Current rosters/lines are not erased. But- Devils lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20031,[2019-12-19 9:49:29 PM] - Both Islanders and Sound Tigers lines for next game are empty. Current rosters/lines are not erased.
20032,[2019-12-19 9:49:29 PM] - Wolf Pack lines for next game are empty. Current rosters/lines are not erased. But- Rangers lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20033,[2019-12-19 9:49:29 PM] - Robby Fabbri of Rangers was sent to farm.
20034,[2019-12-19 9:49:29 PM] - Ian McCoshen of Rangers was sent to farm.
20035,[2019-12-19 9:49:29 PM] - Phantoms lines for next game are empty. Current rosters/lines are not erased. But- Flyers lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20036,[2019-12-19 9:49:29 PM] - Roadrunners lines for next game are empty. Current rosters/lines are not erased. But- Coyotes lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20037,[2019-12-19 9:49:29 PM] - Both Blues and Rampage  lines for next game are empty. Current rosters/lines are not erased.
20038,[2019-12-19 9:49:29 PM] - Barracudas lines for next game are empty. Current rosters/lines are not erased. But- Sharks lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20039,[2019-12-19 9:49:29 PM] - Marlies lines for next game are empty. Current rosters/lines are not erased. But- Maple Leafs lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20040,[2019-12-19 9:49:29 PM] - Comets lines for next game are empty. Current rosters/lines are not erased. But- Canucks lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20041,[2019-12-19 9:49:29 PM] - Bears lines for next game are empty. Current rosters/lines are not erased. But- Capitals lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20042,[2019-12-19 9:49:29 PM] - Greg McKegg was cleared from waivers and was sent to down farm.
20043,[2019-12-19 9:49:29 PM] - John Tavares from Lightning is back from Strained Right Elbow Injury.
20044,[2019-12-19 9:49:29 PM] - Mats Zuccarello from Blue Jackets is back from Back Surgery Injury.
20045,[2019-12-19 9:49:29 PM] - Justin Schultz from Panthers is back from Sprained Left Ankle Injury.
20046,[2019-12-19 9:49:34 PM] - Ducks are expected to be over the salary cap by $263-470!
20047,[2019-12-19 9:49:36 PM] - Kings are expected to be over the salary cap by $191-760!
20048,[2019-12-19 9:49:37 PM] - Coyotes are expected to be over the salary cap by $69-394!
20049,[2019-12-19 9:49:38 PM] - Current fund for Lightning is under $0.
20050,[2019-12-19 9:50:07 PM] - Ducks are expected to be over the salary cap by $263-470!
20051,[2019-12-19 9:50:08 PM] - Kings are expected to be over the salary cap by $191-760!
20052,[2019-12-19 9:50:08 PM] - Coyotes are expected to be over the salary cap by $69-394!
20053,[2019-12-19 9:50:09 PM] - Current fund for Lightning is under $0.
20054,[2019-12-20 4:40:26 PM] - Ducks placed Andrew Cogliano on waivers.
20055,[2019-12-20 4:40:27 PM] - Andrew Cogliano of Ducks was sent down to farm.
20056,[2019-12-20 4:40:27 PM] - Successfully loaded Ducks lines done with STHS Client - 3.1.6.6
20057,[2019-12-20 4:40:28 PM] - Successfully loaded Sabres lines done with STHS Client - 3.1.6.6
20058,[2019-12-20 4:40:28 PM] - Michael McCarron of Panthers was sent to pro.
20059,[2019-12-20 4:40:28 PM] - Successfully loaded Panthers lines done with STHS Client - 3.1.5.5
20060,[2019-12-20 4:40:28 PM] - Travis Sanheim of Golden Knights was sent down to farm.
20061,[2019-12-20 4:40:28 PM] - Successfully loaded Golden Knights lines done with STHS Client - 3.1.6.6
20062,[2019-12-20 4:40:29 PM] - Red Wings roster errors : Not enough Defenseman available in Pro Team! 5 Dressed. 6 Required.
Some errors will be automatically fixed.

20063,[2019-12-20 4:40:29 PM] - Auto Roster Partial Function has been run for Red Wings.
20064,[2019-12-20 4:40:29 PM] - Red Wings lines errors : Normal line # 1 Defense #1 is empty.
Normal line # 4 Defense #4 is empty.
PP line 1 Defense #1 is empty.
PK line 1 Defense #1 is empty.
4 vs 4 line 1 Defense #1 is empty.
PK3 line 1 Defense #1 is empty.
LastMinOff line Defense #3 is empty.
LastMinDef line Defense #3 is empty.
Extra Defense #2 is empty.
Extra Defense #5 is empty.

20065,[2019-12-20 4:40:29 PM] - Auto Lines Partial Function has been run for Red Wings.
20066,[2019-12-20 4:40:29 PM] - Oilers lines errors : Normal line # 4 C is empty.
PK line 1 C is empty.
PK3 line 1 forward is empty.

20067,[2019-12-20 4:40:29 PM] - Auto Lines Partial Function has been run for Oilers.
20068,[2019-12-20 4:40:34 PM] - Game 363 - Jake McCabe from Red Wings is injured  (Bruised Right Shoulder) and is out for 2 months.
20069,[2019-12-20 4:40:34 PM] - Game 364 - Josh Manson from Sabres is injured  (Upper Body) and is out for 3 days.
20070,[2019-12-20 4:40:35 PM] - Checkers lines for next game are empty. Current rosters/lines are not erased. But- Hurricanes lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20071,[2019-12-20 4:40:35 PM] - Both Oilers and Condors lines for next game are empty. Current rosters/lines are not erased.
20072,[2019-12-20 4:40:35 PM] - Roadrunners lines for next game are empty. Current rosters/lines are not erased. But- Coyotes lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20073,[2019-12-20 4:40:35 PM] - Phil Varone was cleared from waivers and was sent to down farm.
20074,[2019-12-20 4:40:35 PM] - Ryan Suter from Red Wings is back from Herniated Disc Injury.
20075,[2019-12-20 4:40:35 PM] - Anthony Beauvillier from Blues is back from Torso Injury.
20076,[2019-12-20 4:40:35 PM] - Brandon Manning from Avalanche is back from Sore Left Knee Injury.
20077,[2019-12-20 4:40:35 PM] - Josh Manson from Sabres is back from Upper Body Injury.
20078,[2019-12-20 4:40:37 PM] - Kings are expected to be over the salary cap by $191-760!
20079,[2019-12-20 4:40:38 PM] - Coyotes are expected to be over the salary cap by $69-394!
20080,[2019-12-20 4:40:39 PM] - Current fund for Lightning is under $0.
20081,[2019-12-20 4:41:05 PM] - Kings are expected to be over the salary cap by $191-760!
20082,[2019-12-20 4:41:05 PM] - Coyotes are expected to be over the salary cap by $69-394!
20083,[2019-12-20 4:41:07 PM] - Current fund for Lightning is under $0.
20084,[2019-12-21 6:51:28 PM] - Steven Santini of Flames was sent to pro.
20085,[2019-12-21 6:51:28 PM] - Successfully loaded Flames lines done with STHS Client - 3.1.7.7
20086,[2019-12-21 6:51:29 PM] - Hurricanes placed Brett Sutter on waivers.
20087,[2019-12-21 6:51:54 PM] - Brett Sutter of Hurricanes was sent down to farm.
20088,[2019-12-21 6:51:54 PM] - Successfully loaded Hurricanes lines done with STHS Client - 3.1.6.6
20089,[2019-12-21 6:51:54 PM] - Successfully loaded Lightning lines done with STHS Client - 3.1.5.5
20090,[2019-12-21 6:51:55 PM] - Islanders lines errors : Normal line # 1 LW is empty.
Normal line # 2 RW is empty.
Unknown Player is used twice in normal lines 1 and 2.
Unknown Player is used twice in normal lines 1 and 2.
PP line 1 LW is empty.
PP line 2 RW is empty.
PK line 2 LW is empty.
4 vs 4 line 2 LW is empty.
LastMinOff line LW is empty.
LastMinDef line LW is empty.
Extra Forward #1 is empty.
