Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,ArenaCapacity #1,ArenaCapacity #2,TicketPrice #1,TicketPrice #2,Attendance #1,Attendance #2,ScheduleGameInAYear,SalaryCapToDate,SalaryCapPerDay,TotalPlayersSalaries,TotalPlayersSalariesAverage,Expenses Per Days,TotalAttendance,TotalIncome,ExpenseThisSeason,SeasonTicketPCT,TeamPopularity,CoachID,Empty3,Morale,PowerRanking,StandingPlayoffTitle,DidNotMakePlayoff,PlayOffWinRound,PlayOffEliminated,UniqueID,EstimatedRevenue,EstimatedSeasonExpense,Empty4,Empty5,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal,
1,Gulls,SDG,San Diego,Pacific Division,Western Conference,0,0,0,2000,1000,35,0,0,0,30,0,0,1163047,1106296,0,0,0,0,0,100,120,,50,17,,False,0,False,1,0,0,,,W2,4,5,0,0,0,1,0,14,5,8,0,0,0,1,0,12,43,63,7,2,5,0,0,0,0,0,21,37,31,2,30,4,0,410,551,147,107,157,140,12,16,19,7,1,26088,15738,8874,5532,11418,3795,1,43,63,106,75,252,188,486,135,339,106,232,0
2,Moose,MAN,Manitoba,Central Division,Western Conference,0,0,0,2000,1000,33,0,0,0,30,0,0,2452999,2452999,0,0,0,0,0,100,246,,50,11,,False,0,False,2,0,0,,,L1,6,4,0,0,0,0,0,14,10,4,0,0,0,0,0,20,72,18,7,5,2,0,0,0,0,0,35,9,45,9,58,6,3,489,221,59,146,177,166,0,31,25,16,0,12800,28150,9450,4525,21810,5620,6,72,131,203,144,305,199,317,291,424,129,201,0
3,Bruins,PRO,Providence,Atlantic,Eastern Conference,284,3088,2941,2000,1000,100,0,0,0,30,0,0,1917875,1819625,0,0,0,0,0,100,87,,50,2,,False,0,False,3,0,0,,,W9,9,1,0,0,0,0,0,14,12,1,0,1,0,0,0,26,79,20,7,6,0,0,1,0,0,0,35,8,41,14,81,5,3,516,222,69,189,143,181,3,42,21,15,1,13832,27224,9397,4465,20994,5553,4,79,141,220,181,311,200,284,315,426,152,213,0
4, Americans,ROC,Rochester,Central Division,Western Conference,0,0,0,2000,1000,100,0,0,0,30,0,0,1915166,1816000,0,0,0,0,0,100,75,,50,5,,False,0,False,4,0,0,,,W6,8,1,0,1,0,0,0,14,11,1,0,2,0,0,0,26,75,19,7,4,1,0,2,0,0,0,39,11,52,7,66,6,1,443,211,58,136,161,142,4,32,23,18,2,14091,27033,9517,4831,20750,5482,6,75,137,212,157,280,197,322,286,415,148,217,0
5,Heat,STK,Stockton,Pacific Division,Western Conference,0,4262,0,2000,1000,50,0,0,0,30,0,0,2012415,1991915,0,0,0,0,0,100,77,,50,12,,False,0,False,5,0,0,,,SOL1,6,3,0,0,0,0,1,13,9,3,0,0,0,0,1,19,65,20,7,5,2,0,0,0,0,0,34,12,50,9,51,5,0,410,192,56,146,136,127,5,24,21,20,0,12397,25852,8851,4235,19865,5239,2,65,118,183,108,279,127,267,209,362,97,197,0
6,Checkers,CHR,Charlotte,Atlantic,Eastern Conference,0,0,0,2000,1000,50,0,0,0,30,0,0,4496336,3869968,0,0,0,0,0,100,283,,50,22,,False,0,False,6,0,0,,,L3,1,8,0,0,0,0,1,13,1,10,0,0,1,0,1,4,38,86,7,0,7,0,0,0,0,0,18,51,36,2,17,4,0,395,525,153,124,125,144,5,19,10,9,0,23482,14908,8763,5185,10792,3832,0,38,69,107,34,236,109,333,111,311,70,238,1
7,IceHogs,RCK,Rockford,Central Division,Western Conference,3955,0,0,2000,1000,35,0,0,0,30,0,0,2439583,2429083,0,0,0,0,0,100,47,,50,8,,False,0,False,7,0,0,,,SOW1,7,1,0,1,0,1,0,13,9,2,0,1,0,1,0,22,63,19,7,4,2,0,0,0,1,0,30,7,44,8,54,8,1,380,232,64,126,115,138,5,26,17,18,2,12530,25996,8598,4159,20291,5036,3,63,116,179,121,287,173,292,253,377,146,203,0
8,Eagles,COL,Colorado,Pacific Division,Western Conference,0,0,0,2000,1000,50,0,0,0,30,0,0,1054820,1054820,0,0,0,0,0,100,233,,50,28,,False,0,False,8,0,0,,,L5,1,8,0,1,0,0,0,13,1,10,0,1,0,1,0,6,28,88,7,1,5,0,0,0,1,0,18,42,34,3,15,5,0,362,631,188,113,109,128,15,11,7,8,2,26921,11348,8974,5622,7439,3530,0,28,51,79,48,230,122,389,106,280,74,228,0
9,Monsters,CLE,Cleveland,North,Eastern Conference,0,0,0,2000,1000,100,0,0,0,30,0,0,1916883,1915550,0,0,0,0,40,100,284,,50,1,,False,0,False,9,0,0,,,SOW1,9,0,0,0,0,1,0,13,12,0,0,0,0,1,0,26,92,14,7,6,0,0,0,0,1,0,49,10,35,9,54,2,2,491,179,43,164,154,173,2,44,28,19,2,9678,28933,8489,3456,23261,5459,5,92,163,255,112,256,168,227,275,355,145,208,0
10,Stars,TEX,Texas,Central Division,Western Conference,0,0,0,2000,1000,35,0,0,0,30,0,0,85000,85000,0,0,0,0,0,100,93,,50,25,,False,0,False,10,0,0,,,L5,1,7,0,0,1,0,1,13,2,8,0,0,1,0,2,7,42,91,7,0,5,0,0,1,0,1,20,56,29,4,23,7,1,438,662,194,140,144,144,19,15,12,15,0,25552,13447,8544,5264,9680,3525,0,42,83,125,61,204,135,397,110,269,79,261,0
