Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout,Link,Empty
1,1,True,28,2,13,6,False,False,OTHL-PRE-1.html,
2,1,True,2,2,10,3,False,False,OTHL-PRE-2.html,
3,1,True,19,2,27,4,False,False,OTHL-PRE-3.html,
4,1,True,11,1,21,0,False,False,OTHL-PRE-4.html,
5,1,True,23,5,1,2,False,False,OTHL-PRE-5.html,
6,1,True,6,3,3,4,True,True,OTHL-PRE-6.html,
7,1,True,24,4,22,5,False,False,OTHL-PRE-7.html,
8,1,True,4,2,16,0,False,False,OTHL-PRE-8.html,
9,1,True,12,2,26,4,False,False,OTHL-PRE-9.html,
10,1,True,29,5,25,3,False,False,OTHL-PRE-10.html,
11,1,True,5,3,14,2,False,False,OTHL-PRE-11.html,
12,1,True,9,2,30,5,False,False,OTHL-PRE-12.html,
13,1,True,20,3,18,2,False,False,OTHL-PRE-13.html,
14,2,True,1,1,8,3,False,False,OTHL-PRE-14.html,
15,2,True,26,4,17,5,False,False,OTHL-PRE-15.html,
16,2,True,14,3,7,6,False,False,OTHL-PRE-16.html,
17,2,True,31,2,15,0,False,False,OTHL-PRE-17.html,
18,2,True,24,4,28,3,False,False,OTHL-PRE-18.html,
19,2,True,4,4,6,0,False,False,OTHL-PRE-19.html,
20,2,True,12,4,5,3,False,False,OTHL-PRE-20.html,
21,2,True,10,5,2,4,True,True,OTHL-PRE-21.html,
22,2,True,9,3,20,4,True,False,OTHL-PRE-22.html,
23,2,True,25,0,23,2,False,False,OTHL-PRE-23.html,
24,2,True,22,1,11,5,False,False,OTHL-PRE-24.html,
25,3,True,17,6,29,2,False,False,OTHL-PRE-25.html,
26,3,True,30,3,19,1,False,False,OTHL-PRE-26.html,
27,3,True,23,1,31,2,False,False,OTHL-PRE-27.html,
28,3,True,15,1,12,5,False,False,OTHL-PRE-28.html,
29,3,True,16,2,4,4,False,False,OTHL-PRE-29.html,
30,3,True,18,2,9,3,False,False,OTHL-PRE-30.html,
31,3,True,27,3,24,2,True,True,OTHL-PRE-31.html,
32,3,True,21,4,13,2,False,False,OTHL-PRE-32.html,
33,3,True,11,3,3,2,False,False,OTHL-PRE-33.html,
34,3,True,8,1,7,2,False,False,OTHL-PRE-34.html,
35,4,True,22,3,21,2,True,True,OTHL-PRE-35.html,
36,4,True,20,3,19,5,False,False,OTHL-PRE-36.html,
37,4,True,1,2,29,4,False,False,OTHL-PRE-37.html,
38,4,True,8,3,5,5,False,False,OTHL-PRE-38.html,
39,4,True,2,3,26,2,False,False,OTHL-PRE-39.html,
40,4,True,3,1,27,4,False,False,OTHL-PRE-40.html,
41,4,True,30,3,16,2,False,False,OTHL-PRE-41.html,
42,4,True,10,4,14,1,False,False,OTHL-PRE-42.html,
43,4,True,18,1,28,3,False,False,OTHL-PRE-43.html,
44,4,True,13,2,6,5,False,False,OTHL-PRE-44.html,
45,4,True,7,3,25,2,False,False,OTHL-PRE-45.html,
46,4,True,17,5,15,2,False,False,OTHL-PRE-46.html,
47,4,True,23,3,31,2,True,True,OTHL-PRE-47.html,
48,5,True,22,4,9,1,False,False,OTHL-PRE-48.html,
49,5,True,16,3,24,1,False,False,OTHL-PRE-49.html,
50,5,True,18,3,11,4,False,False,OTHL-PRE-50.html,
51,5,True,28,3,20,5,False,False,OTHL-PRE-51.html,
52,5,True,10,0,1,2,False,False,OTHL-PRE-52.html,
53,5,True,19,3,4,5,False,False,OTHL-PRE-53.html,
54,5,True,15,2,2,5,False,False,OTHL-PRE-54.html,
55,5,True,31,1,12,5,False,False,OTHL-PRE-55.html,
56,5,True,6,4,30,5,True,False,OTHL-PRE-56.html,
57,5,True,25,3,17,2,False,False,OTHL-PRE-57.html,
58,5,True,5,4,8,3,True,True,OTHL-PRE-58.html,
59,6,True,27,3,18,1,False,False,OTHL-PRE-59.html,
60,6,True,29,3,10,2,True,True,OTHL-PRE-60.html,
61,6,True,21,5,22,3,False,False,OTHL-PRE-61.html,
62,6,True,14,2,23,4,False,False,OTHL-PRE-62.html,
63,6,True,3,1,13,2,True,False,OTHL-PRE-63.html,
64,6,True,7,4,26,2,False,False,OTHL-PRE-64.html,
65,7,True,9,3,28,2,True,False,OTHL-PRE-65.html,
66,7,True,24,4,6,1,False,False,OTHL-PRE-66.html,
67,7,True,25,5,29,6,True,False,OTHL-PRE-67.html,
68,7,True,20,6,21,4,False,False,OTHL-PRE-68.html,
69,7,True,12,5,14,3,False,False,OTHL-PRE-69.html,
70,7,True,26,4,1,2,False,False,OTHL-PRE-70.html,
71,7,True,16,3,19,4,False,False,OTHL-PRE-71.html,
72,7,True,27,3,4,1,False,False,OTHL-PRE-72.html,
73,7,True,30,5,3,2,False,False,OTHL-PRE-73.html,
74,7,True,5,2,2,1,True,True,OTHL-PRE-74.html,
75,7,True,13,4,11,3,True,False,OTHL-PRE-75.html,
76,7,True,17,2,7,3,True,False,OTHL-PRE-76.html,
77,7,True,31,3,8,1,False,False,OTHL-PRE-77.html,
78,8,True,7,5,15,3,False,False,OTHL-PRE-78.html,
79,8,True,21,1,20,3,False,False,OTHL-PRE-79.html,
80,8,True,26,1,5,3,False,False,OTHL-PRE-80.html,
81,8,True,28,4,16,6,False,False,OTHL-PRE-81.html,
82,8,True,27,5,22,3,False,False,OTHL-PRE-82.html,
83,8,True,18,2,24,4,False,False,OTHL-PRE-83.html,
84,8,True,1,5,10,3,False,False,OTHL-PRE-84.html,
85,8,True,25,1,23,3,False,False,OTHL-PRE-85.html,
86,8,True,4,3,9,2,True,False,OTHL-PRE-86.html,
87,8,True,2,4,12,3,True,True,OTHL-PRE-87.html,
88,8,True,13,3,30,1,False,False,OTHL-PRE-88.html,
89,8,True,29,4,31,3,True,True,OTHL-PRE-89.html,
90,8,True,14,3,17,4,True,True,OTHL-PRE-90.html,
91,8,True,6,4,19,3,False,False,OTHL-PRE-91.html,
92,9,True,3,6,18,1,False,False,OTHL-PRE-92.html,
93,9,True,11,2,27,1,False,False,OTHL-PRE-93.html,
94,9,True,15,1,25,2,True,True,OTHL-PRE-94.html,
95,9,True,12,5,8,2,False,False,OTHL-PRE-95.html,
96,10,True,3,2,28,3,True,False,OTHL-PRE-96.html,
97,10,True,21,3,16,5,False,False,OTHL-PRE-97.html,
98,10,True,9,3,6,1,False,False,OTHL-PRE-98.html,
99,10,True,19,3,22,2,False,False,OTHL-PRE-99.html,
100,10,True,1,3,23,5,False,False,OTHL-PRE-100.html,
101,10,True,2,3,5,2,True,True,OTHL-PRE-101.html,
102,10,True,14,5,29,4,True,False,OTHL-PRE-102.html,
103,10,True,24,2,13,4,False,False,OTHL-PRE-103.html,
104,10,True,20,2,4,4,False,False,OTHL-PRE-104.html,
105,10,True,26,3,10,1,False,False,OTHL-PRE-105.html,
106,10,True,11,3,30,2,True,True,OTHL-PRE-106.html,
107,11,True,15,0,7,2,False,False,OTHL-PRE-107.html,
108,11,True,8,2,17,4,False,False,OTHL-PRE-108.html,
109,11,True,12,1,31,3,False,False,OTHL-PRE-109.html,
110,11,True,28,0,9,3,False,False,OTHL-PRE-110.html,
