Number,Team,Transaction,DateTime,Empty
1,29,[2010-11-06 01:50] - New Record for Team Most Penalties (54) in 1 Game for Canucks!                                             ,12:00:00 AM,
2,30,[2010-11-06 01:54] - From Capitals to Kings : Y:2011-RND:6-WSH.                                                                 ,12:00:00 AM,
3,14,[2010-11-06 01:54] - From Capitals to Kings : Y:2011-RND:6-WSH.                                                                 ,12:00:00 AM,
4,14,[2010-11-06 01:54] - From Kings to Capitals : Tyler Sloan (64).                                                                 ,12:00:00 AM,
5,30,[2010-11-06 01:54] - From Kings to Capitals : Tyler Sloan (64).                                                                 ,12:00:00 AM,
6,17,[2010-11-06 01:54] - From Predators to Lightning : Ville Leino (64).                                                            ,12:00:00 AM,
7,27,[2010-11-06 01:54] - From Predators to Lightning : Ville Leino (64).                                                            ,12:00:00 AM,
8,27,[2010-11-06 01:54] - From Lightning to Predators : Michal Repik (60)- Kyle Greentree (61).                                      ,12:00:00 AM,
9,17,[2010-11-06 01:54] - From Lightning to Predators : Michal Repik (60)- Kyle Greentree (61).                                      ,12:00:00 AM,
10,27,[2010-11-06 01:55] - From Lightning to Predators : Ville Leino (64).                                                            ,12:00:00 AM,
11,17,[2010-11-06 01:55] - From Lightning to Predators : Ville Leino (64).                                                            ,12:00:00 AM,
12,17,[2010-11-06 01:55] - From Predators to Lightning : Kyle Greentree (61)- Michal Repik (60).                                      ,12:00:00 AM,
13,27,[2010-11-06 01:55] - From Predators to Lightning : Kyle Greentree (61)- Michal Repik (60).                                      ,12:00:00 AM,
14,30,[2010-11-06 02:07] - From Capitals to Kings : Tyler Sloan (64).                                                                 ,12:00:00 AM,
15,14,[2010-11-06 02:07] - From Capitals to Kings : Tyler Sloan (64).                                                                 ,12:00:00 AM,
16,14,[2010-11-06 02:07] - From Kings to Capitals : Y:2011-RND:6-WSH.                                                                 ,12:00:00 AM,
17,30,[2010-11-06 02:07] - From Kings to Capitals : Y:2011-RND:6-WSH.                                                                 ,12:00:00 AM,
18,18,[2010-11-07 01:18] - Devils show interest in Stéphane Veilleux from waiver.                                                     ,12:00:00 AM,
19,18,[2010-11-07 01:21] - Devils claimed Stéphane Veilleux from waiver from Canadiens for 100.000-00 kr.                             ,12:00:00 AM,
20,14,[2010-11-07 01:23] - From Kings to Sharks : Bruno Gervais (67).                                                                 ,12:00:00 AM,
21,26,[2010-11-07 01:23] - From Kings to Sharks : Bruno Gervais (67).                                                                 ,12:00:00 AM,
22,26,[2010-11-07 01:23] - From Sharks to Kings : Matt Gilroy (67)- Y:2011-RND:6-BUF.                                                 ,12:00:00 AM,
23,14,[2010-11-07 01:23] - From Sharks to Kings : Matt Gilroy (67)- Y:2011-RND:6-BUF.                                                 ,12:00:00 AM,
24,22,[2010-11-09 01:33] - Patrik Elias has been selected as captain.                                                                 ,12:00:00 AM,
25,22,[2010-11-09 01:33] - Ed Jovanovski has been selected as assistant.                                                              ,12:00:00 AM,
26,22,[2010-11-09 01:33] - Dennis Seidenberg has been selected as assistant.                                                          ,12:00:00 AM,
27,26,[2010-11-09 01:40] - Nick Bonino was added to Sharks.                                                                           ,12:00:00 AM,
28,3,[2010-11-09 01:44] - From Bruins to Capitals : Andrew Brunette (72)- Brian Boucher (70)- Chris Drury (74).                      ,12:00:00 AM,
29,30,[2010-11-09 01:44] - From Bruins to Capitals : Andrew Brunette (72)- Brian Boucher (70)- Chris Drury (74).                      ,12:00:00 AM,
30,30,ius (72)- Mike Commodore (73)- Yann Sauve (P)- Y:2011-RND:3-WSH.                                                                ,12:00:00 AM,
31,30,[2010-11-09 01:44] - From Capitals to Bruins : Bryan Rodney (63)- Dwayne Roloson (73)- Fredrik Modin (68)- Kristian Husel       ,12:00:00 AM,
32,3,ius (72)- Mike Commodore (73)- Yann Sauve (P)- Y:2011-RND:3-WSH.                                                                ,12:00:00 AM,
33,3,[2010-11-09 01:44] - From Capitals to Bruins : Bryan Rodney (63)- Dwayne Roloson (73)- Fredrik Modin (68)- Kristian Husel       ,12:00:00 AM,
34,27,[2010-11-09 01:45] - From Lightning to Predators : Michal Repik (60)- Kyle Greentree (61).                                      ,12:00:00 AM,
35,17,[2010-11-09 01:45] - From Lightning to Predators : Michal Repik (60)- Kyle Greentree (61).                                      ,12:00:00 AM,
36,17,[2010-11-09 01:45] - From Predators to Lightning : Ville Leino (64).                                                            ,12:00:00 AM,
37,27,[2010-11-09 01:45] - From Predators to Lightning : Ville Leino (64).                                                            ,12:00:00 AM,
38,27,[2010-11-09 01:47] - From Lightning to Predators : Ville Leino (64).                                                            ,12:00:00 AM,
39,17,[2010-11-09 01:47] - From Lightning to Predators : Ville Leino (64).                                                            ,12:00:00 AM,
40,17,[2010-11-09 01:47] - From Predators to Lightning : Michal Repik (60)- Kyle Greentree (61).                                      ,12:00:00 AM,
41,27,[2010-11-09 01:47] - From Predators to Lightning : Michal Repik (60)- Kyle Greentree (61).                                      ,12:00:00 AM,
42,7,[2010-11-09 01:48] - From Blackhawks to Ducks : David Clarkson (68)- Jack Skille (63)- Y:2011-RND:6-SJS.                        ,12:00:00 AM,
43,1,[2010-11-09 01:48] - From Blackhawks to Ducks : David Clarkson (68)- Jack Skille (63)- Y:2011-RND:6-SJS.                        ,12:00:00 AM,
44,1,[2010-11-09 01:48] - From Ducks to Blackhawks : Devin Setoguchi (70).                                                           ,12:00:00 AM,
45,7,[2010-11-09 01:48] - From Ducks to Blackhawks : Devin Setoguchi (70).                                                           ,12:00:00 AM,
46,2,[2010-11-09 01:48] - From Thrashers to Devils : Chris Stewart (70).                                                             ,12:00:00 AM,
47,18,[2010-11-09 01:48] - From Thrashers to Devils : Chris Stewart (70).                                                             ,12:00:00 AM,
48,18,[2010-11-09 01:48] - From Devils to Thrashers : Erik Gudbranson (P).                                                            ,12:00:00 AM,
49,2,[2010-11-09 01:48] - From Devils to Thrashers : Erik Gudbranson (P).                                                            ,12:00:00 AM,
50,3,[2010-11-09 01:49] - General Manager Change : Bruins fired general manager OTHL                                                 ,12:00:00 AM,
51,3,[2010-11-09 01:49] - General Manager Change : Bruins hired general manager Ryan McKnight                                        ,12:00:00 AM,
52,14,[2010-11-09 01:51] - General Manager Change : Kings fired general manager OTHL                                                  ,12:00:00 AM,
53,14,[2010-11-09 01:51] - General Manager Change : Kings hired general manager Tim Molinet                                           ,12:00:00 AM,
54,30,[2010-11-10 01:03] - Capitals show interest in Tobias Stephan from waiver.                                                      ,12:00:00 AM,
55,28,[2010-11-10 01:03] - New Record for Team Most Shots Blocked (19) in 1 Game for Maple Leafs!                                     ,12:00:00 AM,
56,30,[2010-11-10 01:03] - Capitals claimed Tobias Stephan from waiver from Stars for 100.000-00 kr.                                  ,12:00:00 AM,
57,15,[2010-11-11 03:02] - Tim Gleason has been selected as assistant.                                                                ,12:00:00 AM,
58,15,[2010-11-11 03:02] - Tobias Enstrom has been selected as assistant.                                                             ,12:00:00 AM,
59,7,[2010-11-11 03:03] - New Record for Team Most Penalties (52) in 1 Game for Blackhawks!                                          ,12:00:00 AM,
60,20,[2010-11-11 03:04] - New Record for Team Most Hits (33) in 1 Game for Rangers!                                                  ,12:00:00 AM,
61,26,[2010-11-11 03:11] - Cody Almond was added to Sharks.                                                                           ,12:00:00 AM,
62,15,[2010-11-11 03:16] - Linus Klasen was added to Wild.                                                                            ,12:00:00 AM,
63,7,[2010-11-11 23:34] - Blackhawks show interest in Anders Eriksson from waiver.                                                   ,12:00:00 AM,
64,13,[2010-11-11 23:34] - Panthers show interest in Tobias Stephan from waiver.                                                      ,12:00:00 AM,
65,30,[2010-11-11 23:34] - Capitals show interest in Owen Nolan from waiver.                                                          ,12:00:00 AM,
66,7,[2010-11-11 23:37] - Blackhawks claimed Anders Eriksson from waiver from Capitals for 100.000-00 kr.                            ,12:00:00 AM,
67,13,[2010-11-11 23:37] - Panthers claimed Tobias Stephan from waiver from Capitals for 100.000-00 kr.                               ,12:00:00 AM,
68,30,[2010-11-11 23:40] - Capitals show interest in Owen Nolan from waiver.                                                          ,12:00:00 AM,
69,18,[2010-11-12 03:21] - Devils show interest in Owen Nolan from waiver.                                                            ,12:00:00 AM,
70,21,[2010-11-12 03:21] - Senators show interest in Ales Kotalik from waiver.                                                        ,12:00:00 AM,
71,21,[2010-11-12 22:11] - Senators show interest in Ales Kotalik from waiver.                                                        ,12:00:00 AM,
72,18,[2010-11-12 22:11] - Devils show interest in Owen Nolan from waiver.                                                            ,12:00:00 AM,
73,18,[2010-11-12 22:17] - Devils claimed Owen Nolan from waiver from Islanders for 100.000-00 kr.                                    ,12:00:00 AM,
74,21,[2010-11-12 22:17] - Senators claimed Ales Kotalik from waiver from Capitals for 100.000-00 kr.                                 ,12:00:00 AM,
