Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,PosC,PosLW,PosRW,PosD,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,Overall,ProGP,ProShots,ProG,ProA,ProPoint,ProPlusMinus,ProPim,Pro5Pim,ProShotsBlock,ProOwnShotsBlock,ProOwnShotsMissGoal,ProHits,ProHitsTook,ProGW,ProGT,ProFaceOffWon,ProFaceOffTotal,ProPenalityShotsScore,ProPenalityShotsTotal,ProEmptyNetGoal,ProMinutePlay,ProHatTrick,ProPPG,ProPPA,ProPPShots,ProPPMinutePlay,ProPKG,ProPKA,ProPKShots,ProPKMinutePlay,ProGiveAway,ProTakeAway,ProPuckPossesionTime,ProFightW,ProFightL,ProFightT,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGP,FarmShots,FarmG,FarmA,FarmPoint,FarmPlusMinus,FarmPim,Farm5Pim,FarmShotsBlock,FarmOwnShotsBlock,FarmOwnShotsMissGoal,FarmHits,FarmHitsTook,FarmGW,FarmGT,FarmFaceOffWon,FarmFaceOffTotal,FarmPenalityShotsScore,FarmPenalityShotsTotal,FarmEmptyNetGoal,FarmMinutePlay,FarmHatTrick,FarmPPG,FarmPPA,FarmPPShots,FarmPPMinutePlay,FarmPKG,FarmPKA,FarmPKShots,FarmPKMinutePlay,FarmGiveAway,FarmTakeAway,FarmPuckPossesionTime,FarmFightW,FarmFightL,FarmFightT,FarmStar(1),FarmStar(2),FarmStar(3),GameInRowWithAGoal,GameInRowWithAPoint,GameInRowWithOutAGoal,GameInRowWithOutAPoint,FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
3875,Riley Stillman,https://www.tsn.ca/nhl/player-bio/riley-stillman,27,ONT,1998-03-08,190,73,False,False,False,True,1,False,False,False,False,False,True,True,False,0,773333,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,82,85,87,69,73,77,77,59,25,51,47,87,25,47,47,63,50,66,30,24,1,7,8,-2,25,5,46,5,13,52,26,1,0,0,0,0,0,0,36113,0,0,0,0,50,0,0,1,5295,0,0,3202,0,0,1,0,0,1,0,960,2000,2,2,0,0,0,1,0,0,3,0,1,0,3,0,0,0,0,0,0,0,2845,0,0,0,1,669,0,0,0,460,0,0,399,0,0,0,0,0,0,0,0,7,3,0,0,300,False
3876,Dominik Kahun,https://www.tsn.ca/nhl/player-bio/dominik-kahun,6,CZE,1995-07-01,175,69,True,True,True,False,1,False,False,False,False,False,True,True,False,0,925000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,57,40,95,83,62,65,86,66,45,77,72,57,25,59,59,71,50,65,34,50,2,2,4,-13,0,0,2,14,36,5,19,1,0,10,35,0,0,0,26152,0,0,0,0,232,0,0,2,1286,0,0,2135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,False
3877,Evgenii Dadonov,https://www.tsn.ca/nhl/player-bio/evgenii-dadonov,3,RUS,1989-03-12,185,71,False,True,True,False,5,False,False,False,False,False,True,True,False,0,7200000,7200000,7200000,7200000,7200000,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,63,41,95,85,67,75,93,89,25,76,86,53,25,65,65,79,50,71,35,114,8,17,25,11,4,0,0,48,102,21,40,2,0,10,51,0,0,0,38926,0,2,8,26,6384,0,0,4,3464,0,0,4564,0,0,0,3,0,2,0,1735,4880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,False
4,Luke Schenn,http://www.tsn.ca/nhl/player-bio/luke-schenn,1,SKW,1989-11-01,229,74,False,False,False,True,2,False,False,False,False,True,True,True,False,0,1150000,1150000,0,0,0,0,0,0,0,0,,11,100,0,3,3,3,3,3,3,3,3,3,3,98,71,74,72,83,59,62,55,25,47,48,75,25,77,78,61,50,66,31,20,0,1,1,-1,40,0,27,6,12,77,19,0,0,0,0,0,0,0,28471,0,0,0,1,490,0,0,0,3362,0,0,1806,0,0,0,0,0,0,145,255,1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,0,0,0,False
4192,Rem Pitlick,https://www.tsn.ca/nhl/player-bio/rem-pitlick,6,ONT,1997-04-01,196,71,True,True,True,False,2,True,False,False,False,False,True,True,False,0,925000,925000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,74,70,82,65,70,66,68,60,75,53,62,63,59,44,44,62,50,59,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,967,0,0,0,0,0,0,0,0,24,0,0,22,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,False
3042,Erik Gustafsson,https://www.tsn.ca/nhl/player-bio/erik-gustafsson,20,SWE,1992-03-14,176,72,False,False,False,True,2,False,False,False,False,False,True,True,False,0,2000000,2000000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,78,48,87,83,65,83,88,82,25,71,56,61,75,64,65,66,50,68,33,29,0,12,12,3,24,0,19,11,23,72,25,0,0,0,0,0,0,0,42055,0,0,3,16,4435,0,1,0,2628,0,0,3489,0,0,0,0,0,1,0,1250,2440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0,False
8,Jordan Staal,http://www.tsn.ca/nhl/player-bio/jordan-staal,1,ONT,1988-09-10,220,76,True,False,False,False,1,False,False,False,False,False,True,True,False,0,6500000,0,0,0,0,0,0,0,0,0,,0,98,0,3,3,3,3,3,3,3,3,3,3,87,46,83,78,83,76,76,69,96,73,62,81,25,83,88,71,50,71,34,72,4,13,17,-2,26,0,10,30,46,62,96,0,0,419,656,0,1,0,37173,0,0,5,4,2666,0,0,2,5467,0,0,3802,0,0,0,2,0,0,110,555,2995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,False
4448,Brogan Raferty,,26,USA,1995-05-28,192,74,False,False,False,True,1,True,False,False,False,False,True,True,False,0,700000,0,0,0,0,0,0,0,0,0,,0,100,0,1,2,2,2,2,2,2,2,2,2,78,72,92,64,72,64,66,60,25,60,43,44,44,59,50,61,50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3878,Miro Heiskanen,https://www.eliteprospects.com/player/250075/miro-heiskanen,2,FIN,1999-07-18,170,72,False,False,False,True,2,False,False,False,False,False,True,True,False,0,3394166,3394166,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,67,41,93,88,64,89,92,79,25,69,53,80,25,60,61,70,50,72,34,41,3,15,18,-17,14,0,63,16,46,40,47,0,0,0,2,0,0,0,47775,0,1,6,20,5741,0,1,1,6214,0,0,6608,0,0,0,0,3,0,0,460,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,False
3326,Casey Nelson,http://www.tsn.ca/nhl/player-bio/casey-nelson,15,USA,1992-07-18,190,73,False,False,False,True,2,False,False,False,False,False,True,True,False,0,800000,800000,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,77,71,92,68,71,59,63,48,25,37,41,65,39,59,59,53,50,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
